Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,96.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,466.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,834.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,1158.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,648.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,807.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,657.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,395.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,661.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,395.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,827.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,596.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,387.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,265.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,439.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,209.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,301.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,335.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,227.0,,,2018-12-31,441.0,2019-12-30,425.0
19,,05:00:00,,1,Monday,2016-01-04,562.0,,,2018-12-31,778.0,2019-12-30,667.0
20,,06:00:00,,1,Monday,2016-01-04,1104.0,,,2018-12-31,595.0,2019-12-30,1230.0
21,,07:00:00,,1,Monday,2016-01-04,1168.0,,,2018-12-31,768.0,2019-12-30,835.0
22,,08:00:00,,1,Monday,2016-01-04,806.0,,,2018-12-31,541.0,2019-12-30,792.0
23,,09:00:00,,1,Monday,2016-01-04,594.0,,,2018-12-31,605.0,2019-12-30,878.0
24,,10:00:00,,1,Monday,2016-01-04,692.0,,,2018-12-31,826.0,2019-12-30,774.0
25,,11:00:00,,1,Monday,2016-01-04,580.0,,,2018-12-31,753.0,2019-12-30,727.0
26,,12:00:00,,1,Monday,2016-01-04,949.0,,,2018-12-31,697.0,2019-12-30,791.0
27,,13:00:00,,1,Monday,2016-01-04,583.0,,,2018-12-31,648.0,2019-12-30,588.0
28,,14:00:00,,1,Monday,2016-01-04,662.0,,,2018-12-31,470.0,2019-12-30,839.0
29,,15:00:00,,1,Monday,2016-01-04,624.0,,,2018-12-31,179.0,2019-12-30,469.0
30,,16:00:00,,1,Monday,2016-01-04,367.0,,,2018-12-31,375.0,2019-12-30,445.0
31,,17:00:00,,1,Monday,2016-01-04,575.0,,,2018-12-31,543.0,2019-12-30,461.0
32,,18:00:00,,1,Monday,2016-01-04,211.0,,,2018-12-31,372.0,2019-12-30,524.0
33,,19:00:00,,1,Monday,2016-01-04,175.0,,,2018-12-31,329.0,2019-12-30,397.0
34,,20:00:00,,1,Monday,2016-01-04,198.0,,,2018-12-31,377.0,2019-12-30,518.0
35,,21:00:00,,1,Monday,2016-01-04,164.0,,,2018-12-31,322.0,2019-12-30,705.0
36,,04:00:00,,1,Saturday,2016-01-09,91.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,264.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,500.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,653.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,461.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,389.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,663.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,260.0,,,,,,
44,,12:00:00,,1,Saturday,2016-01-09,305.0,,,,,,
45,,13:00:00,,1,Saturday,2016-01-09,258.0,,,,,,
46,,14:00:00,,1,Saturday,2016-01-09,335.0,,,,,,
47,,15:00:00,,1,Saturday,2016-01-09,653.0,,,,,,
48,,16:00:00,,1,Saturday,2016-01-09,378.0,,,,,,
49,,17:00:00,,1,Saturday,2016-01-09,508.0,,,,,,
50,,18:00:00,,1,Saturday,2016-01-09,133.0,,,,,,
51,,19:00:00,,1,Saturday,2016-01-09,205.0,,,,,,
52,,20:00:00,,1,Saturday,2016-01-09,140.0,,,,,,
53,,21:00:00,,1,Saturday,2016-01-09,271.0,,,,,,
54,,04:00:00,,1,Sunday,2016-01-10,135.0,2017-01-08,188.0,2018-01-07,208.0,2019-01-06,293.0
55,,05:00:00,,1,Sunday,2016-01-10,613.0,2017-01-08,789.0,2018-01-07,872.0,2019-01-06,801.0
56,,06:00:00,,1,Sunday,2016-01-10,1201.0,2017-01-08,1427.0,2018-01-07,1339.0,2019-01-06,1186.0
57,,07:00:00,,1,Sunday,2016-01-10,1162.0,2017-01-08,964.0,2018-01-07,1281.0,2019-01-06,1011.0
58,,08:00:00,,1,Sunday,2016-01-10,910.0,2017-01-08,423.0,2018-01-07,488.0,2019-01-06,553.0
59,,09:00:00,,1,Sunday,2016-01-10,707.0,2017-01-08,364.0,2018-01-07,570.0,2019-01-06,496.0
60,,10:00:00,,1,Sunday,2016-01-10,940.0,2017-01-08,588.0,2018-01-07,1076.0,2019-01-06,1081.0
61,,11:00:00,,1,Sunday,2016-01-10,520.0,2017-01-08,894.0,2018-01-07,919.0,2019-01-06,813.0
62,,12:00:00,,1,Sunday,2016-01-10,988.0,2017-01-08,931.0,2018-01-07,669.0,2019-01-06,960.0
63,,13:00:00,,1,Sunday,2016-01-10,630.0,2017-01-08,643.0,2018-01-07,790.0,2019-01-06,646.0
64,,14:00:00,,1,Sunday,2016-01-10,433.0,2017-01-08,839.0,2018-01-07,996.0,2019-01-06,697.0
65,,15:00:00,,1,Sunday,2016-01-10,413.0,2017-01-08,688.0,2018-01-07,697.0,2019-01-06,527.0
66,,16:00:00,,1,Sunday,2016-01-10,652.0,2017-01-08,494.0,2018-01-07,684.0,2019-01-06,704.0
67,,17:00:00,,1,Sunday,2016-01-10,465.0,2017-01-08,299.0,2018-01-07,457.0,2019-01-06,796.0
68,,18:00:00,,1,Sunday,2016-01-10,141.0,2017-01-08,164.0,2018-01-07,392.0,2019-01-06,459.0
69,,19:00:00,,1,Sunday,2016-01-10,226.0,2017-01-08,190.0,2018-01-07,354.0,2019-01-06,589.0
70,,20:00:00,,1,Sunday,2016-01-10,300.0,2017-01-08,375.0,2018-01-07,306.0,2019-01-06,471.0
71,,21:00:00,,1,Sunday,2016-01-10,295.0,2017-01-08,296.0,2018-01-07,470.0,2019-01-06,540.0
72,,04:00:00,,1,Thursday,2016-01-07,173.0,,,,,,
73,,05:00:00,,1,Thursday,2016-01-07,502.0,,,,,,
74,,06:00:00,,1,Thursday,2016-01-07,903.0,,,,,,
75,,07:00:00,,1,Thursday,2016-01-07,640.0,,,,,,
76,,08:00:00,,1,Thursday,2016-01-07,415.0,,,,,,
77,,09:00:00,,1,Thursday,2016-01-07,454.0,,,,,,
78,,10:00:00,,1,Thursday,2016-01-07,654.0,,,,,,
79,,11:00:00,,1,Thursday,2016-01-07,466.0,,,,,,
80,,12:00:00,,1,Thursday,2016-01-07,535.0,,,,,,
81,,13:00:00,,1,Thursday,2016-01-07,607.0,,,,,,
82,,14:00:00,,1,Thursday,2016-01-07,600.0,,,,,,
83,,15:00:00,,1,Thursday,2016-01-07,317.0,,,,,,
84,,16:00:00,,1,Thursday,2016-01-07,384.0,,,,,,
85,,17:00:00,,1,Thursday,2016-01-07,439.0,,,,,,
86,,18:00:00,,1,Thursday,2016-01-07,213.0,,,,,,
87,,19:00:00,,1,Thursday,2016-01-07,212.0,,,,,,
88,,20:00:00,,1,Thursday,2016-01-07,232.0,,,,,,
89,,21:00:00,,1,Thursday,2016-01-07,302.0,,,,,,
90,,04:00:00,,1,Tuesday,2016-01-05,103.0,,,,,2019-12-31,161.0
91,,05:00:00,,1,Tuesday,2016-01-05,284.0,,,,,2019-12-31,178.0
92,,06:00:00,,1,Tuesday,2016-01-05,392.0,,,,,2019-12-31,369.0
93,,07:00:00,,1,Tuesday,2016-01-05,365.0,,,,,2019-12-31,691.0
94,,08:00:00,,1,Tuesday,2016-01-05,418.0,,,,,2019-12-31,658.0
95,,09:00:00,,1,Tuesday,2016-01-05,379.0,,,,,2019-12-31,512.0
96,,10:00:00,,1,Tuesday,2016-01-05,293.0,,,,,2019-12-31,889.0
97,,11:00:00,,1,Tuesday,2016-01-05,117.0,,,,,2019-12-31,463.0
98,,12:00:00,,1,Tuesday,2016-01-05,300.0,,,,,2019-12-31,278.0
99,,13:00:00,,1,Tuesday,2016-01-05,188.0,,,,,2019-12-31,390.0
100,,14:00:00,,1,Tuesday,2016-01-05,260.0,,,,,2019-12-31,391.0
101,,15:00:00,,1,Tuesday,2016-01-05,320.0,,,,,2019-12-31,196.0
102,,16:00:00,,1,Tuesday,2016-01-05,377.0,,,,,2019-12-31,237.0
103,,17:00:00,,1,Tuesday,2016-01-05,176.0,,,,,2019-12-31,313.0
104,,18:00:00,,1,Tuesday,2016-01-05,74.0,,,,,2019-12-31,372.0
105,,19:00:00,,1,Tuesday,2016-01-05,175.0,,,,,2019-12-31,279.0
106,,20:00:00,,1,Tuesday,2016-01-05,141.0,,,,,2019-12-31,437.0
107,,21:00:00,,1,Tuesday,2016-01-05,171.0,,,,,2019-12-31,511.0
108,,04:00:00,,1,Wednesday,2016-01-06,25.0,,,,,,
109,,05:00:00,,1,Wednesday,2016-01-06,98.0,,,,,,
110,,06:00:00,,1,Wednesday,2016-01-06,458.0,,,,,,
111,,07:00:00,,1,Wednesday,2016-01-06,671.0,,,,,,
112,,08:00:00,,1,Wednesday,2016-01-06,429.0,,,,,,
113,,09:00:00,,1,Wednesday,2016-01-06,316.0,,,,,,
114,,10:00:00,,1,Wednesday,2016-01-06,334.0,,,,,,
115,,11:00:00,,1,Wednesday,2016-01-06,263.0,,,,,,
116,,12:00:00,,1,Wednesday,2016-01-06,276.0,,,,,,
117,,13:00:00,,1,Wednesday,2016-01-06,258.0,,,,,,
118,,14:00:00,,1,Wednesday,2016-01-06,337.0,,,,,,
119,,15:00:00,,1,Wednesday,2016-01-06,248.0,,,,,,
120,,16:00:00,,1,Wednesday,2016-01-06,228.0,,,,,,
121,,17:00:00,,1,Wednesday,2016-01-06,243.0,,,,,,
122,,18:00:00,,1,Wednesday,2016-01-06,138.0,,,,,,
123,,19:00:00,,1,Wednesday,2016-01-06,146.0,,,,,,
124,,20:00:00,,1,Wednesday,2016-01-06,124.0,,,,,,
125,,21:00:00,,1,Wednesday,2016-01-06,164.0,,,,,,
126,,04:00:00,,2,Friday,2016-01-15,113.0,2017-01-13,118.0,2018-01-12,324.0,2019-01-11,191.0
127,,05:00:00,,2,Friday,2016-01-15,461.0,2017-01-13,656.0,2018-01-12,818.0,2019-01-11,706.0
128,,06:00:00,,2,Friday,2016-01-15,1097.0,2017-01-13,907.0,2018-01-12,1153.0,2019-01-11,853.0
129,,07:00:00,,2,Friday,2016-01-15,1031.0,2017-01-13,850.0,2018-01-12,712.0,2019-01-11,757.0
130,,08:00:00,,2,Friday,2016-01-15,595.0,2017-01-13,225.0,2018-01-12,444.0,2019-01-11,550.0
131,,09:00:00,,2,Friday,2016-01-15,359.0,2017-01-13,329.0,2018-01-12,552.0,2019-01-11,516.0
132,,10:00:00,,2,Friday,2016-01-15,373.0,2017-01-13,500.0,2018-01-12,601.0,2019-01-11,579.0
133,,11:00:00,,2,Friday,2016-01-15,674.0,2017-01-13,398.0,2018-01-12,659.0,2019-01-11,676.0
134,,12:00:00,,2,Friday,2016-01-15,838.0,2017-01-13,407.0,2018-01-12,586.0,2019-01-11,635.0
135,,13:00:00,,2,Friday,2016-01-15,641.0,2017-01-13,544.0,2018-01-12,765.0,2019-01-11,587.0
136,,14:00:00,,2,Friday,2016-01-15,690.0,2017-01-13,418.0,2018-01-12,674.0,2019-01-11,464.0
137,,15:00:00,,2,Friday,2016-01-15,357.0,2017-01-13,491.0,2018-01-12,696.0,2019-01-11,357.0
138,,16:00:00,,2,Friday,2016-01-15,358.0,2017-01-13,801.0,2018-01-12,539.0,2019-01-11,743.0
139,,17:00:00,,2,Friday,2016-01-15,431.0,2017-01-13,347.0,2018-01-12,484.0,2019-01-11,659.0
140,,18:00:00,,2,Friday,2016-01-15,284.0,2017-01-13,241.0,2018-01-12,441.0,2019-01-11,354.0
141,,19:00:00,,2,Friday,2016-01-15,172.0,2017-01-13,143.0,2018-01-12,378.0,2019-01-11,377.0
142,,20:00:00,,2,Friday,2016-01-15,214.0,2017-01-13,233.0,2018-01-12,344.0,2019-01-11,358.0
143,,21:00:00,,2,Friday,2016-01-15,335.0,2017-01-13,188.0,2018-01-12,403.0,2019-01-11,281.0
144,,04:00:00,,2,Monday,2016-01-11,144.0,2017-01-09,229.0,2018-01-08,227.0,2019-01-07,224.0
145,,05:00:00,,2,Monday,2016-01-11,580.0,2017-01-09,695.0,2018-01-08,1065.0,2019-01-07,799.0
146,,06:00:00,,2,Monday,2016-01-11,1157.0,2017-01-09,1139.0,2018-01-08,1232.0,2019-01-07,929.0
147,,07:00:00,,2,Monday,2016-01-11,858.0,2017-01-09,899.0,2018-01-08,958.0,2019-01-07,821.0
148,,08:00:00,,2,Monday,2016-01-11,429.0,2017-01-09,430.0,2018-01-08,358.0,2019-01-07,611.0
149,,09:00:00,,2,Monday,2016-01-11,576.0,2017-01-09,443.0,2018-01-08,476.0,2019-01-07,434.0
150,,10:00:00,,2,Monday,2016-01-11,400.0,2017-01-09,339.0,2018-01-08,715.0,2019-01-07,1078.0
151,,11:00:00,,2,Monday,2016-01-11,533.0,2017-01-09,443.0,2018-01-08,753.0,2019-01-07,734.0
152,,12:00:00,,2,Monday,2016-01-11,1143.0,2017-01-09,490.0,2018-01-08,601.0,2019-01-07,839.0
153,,13:00:00,,2,Monday,2016-01-11,799.0,2017-01-09,570.0,2018-01-08,878.0,2019-01-07,764.0
154,,14:00:00,,2,Monday,2016-01-11,107.0,2017-01-09,594.0,2018-01-08,736.0,2019-01-07,361.0
155,,15:00:00,,2,Monday,2016-01-11,674.0,2017-01-09,672.0,2018-01-08,566.0,2019-01-07,352.0
156,,16:00:00,,2,Monday,2016-01-11,347.0,2017-01-09,460.0,2018-01-08,509.0,2019-01-07,710.0
157,,17:00:00,,2,Monday,2016-01-11,359.0,2017-01-09,286.0,2018-01-08,458.0,2019-01-07,551.0
158,,18:00:00,,2,Monday,2016-01-11,155.0,2017-01-09,147.0,2018-01-08,227.0,2019-01-07,358.0
159,,19:00:00,,2,Monday,2016-01-11,120.0,2017-01-09,180.0,2018-01-08,171.0,2019-01-07,327.0
160,,20:00:00,,2,Monday,2016-01-11,218.0,2017-01-09,236.0,2018-01-08,218.0,2019-01-07,287.0
161,,21:00:00,,2,Monday,2016-01-11,357.0,2017-01-09,245.0,2018-01-08,189.0,2019-01-07,295.0
162,,04:00:00,,2,Saturday,2016-01-16,48.0,2017-01-14,41.0,2018-01-13,112.0,2019-01-12,68.0
163,,05:00:00,,2,Saturday,2016-01-16,85.0,2017-01-14,144.0,2018-01-13,379.0,2019-01-12,92.0
164,,06:00:00,,2,Saturday,2016-01-16,301.0,2017-01-14,533.0,2018-01-13,647.0,2019-01-12,421.0
165,,07:00:00,,2,Saturday,2016-01-16,445.0,2017-01-14,277.0,2018-01-13,490.0,2019-01-12,761.0
166,,08:00:00,,2,Saturday,2016-01-16,378.0,2017-01-14,254.0,2018-01-13,370.0,2019-01-12,491.0
167,,09:00:00,,2,Saturday,2016-01-16,456.0,2017-01-14,294.0,2018-01-13,366.0,2019-01-12,386.0
168,,10:00:00,,2,Saturday,2016-01-16,222.0,2017-01-14,288.0,2018-01-13,783.0,2019-01-12,587.0
169,,11:00:00,,2,Saturday,2016-01-16,217.0,2017-01-14,330.0,2018-01-13,373.0,2019-01-12,550.0
170,,12:00:00,,2,Saturday,2016-01-16,316.0,2017-01-14,161.0,2018-01-13,333.0,2019-01-12,329.0
171,,13:00:00,,2,Saturday,2016-01-16,219.0,2017-01-14,54.0,2018-01-13,224.0,2019-01-12,97.0
172,,14:00:00,,2,Saturday,2016-01-16,227.0,2017-01-14,105.0,2018-01-13,234.0,2019-01-12,303.0
173,,15:00:00,,2,Saturday,2016-01-16,217.0,2017-01-14,197.0,2018-01-13,203.0,2019-01-12,252.0
174,,16:00:00,,2,Saturday,2016-01-16,291.0,2017-01-14,267.0,2018-01-13,207.0,2019-01-12,296.0
175,,17:00:00,,2,Saturday,2016-01-16,326.0,2017-01-14,260.0,2018-01-13,418.0,2019-01-12,459.0
176,,18:00:00,,2,Saturday,2016-01-16,176.0,2017-01-14,109.0,2018-01-13,315.0,2019-01-12,211.0
177,,19:00:00,,2,Saturday,2016-01-16,173.0,2017-01-14,148.0,2018-01-13,299.0,2019-01-12,320.0
178,,20:00:00,,2,Saturday,2016-01-16,155.0,2017-01-14,181.0,2018-01-13,254.0,2019-01-12,416.0
179,,21:00:00,,2,Saturday,2016-01-16,288.0,2017-01-14,258.0,2018-01-13,278.0,2019-01-12,318.0
180,2015-01-11,04:00:00,229.0,2,Sunday,2016-01-17,262.0,2017-01-15,237.0,2018-01-14,175.0,2019-01-13,126.0
181,2015-01-11,05:00:00,741.0,2,Sunday,2016-01-17,433.0,2017-01-15,900.0,2018-01-14,852.0,2019-01-13,849.0
182,2015-01-11,06:00:00,1236.0,2,Sunday,2016-01-17,1342.0,2017-01-15,1269.0,2018-01-14,1541.0,2019-01-13,1120.0
183,2015-01-11,07:00:00,774.0,2,Sunday,2016-01-17,1441.0,2017-01-15,974.0,2018-01-14,1280.0,2019-01-13,949.0
184,2015-01-11,08:00:00,404.0,2,Sunday,2016-01-17,436.0,2017-01-15,274.0,2018-01-14,500.0,2019-01-13,454.0
185,2015-01-11,09:00:00,497.0,2,Sunday,2016-01-17,786.0,2017-01-15,345.0,2018-01-14,804.0,2019-01-13,529.0
186,2015-01-11,10:00:00,798.0,2,Sunday,2016-01-17,722.0,2017-01-15,571.0,2018-01-14,1010.0,2019-01-13,755.0
187,2015-01-11,11:00:00,790.0,2,Sunday,2016-01-17,880.0,2017-01-15,770.0,2018-01-14,836.0,2019-01-13,891.0
188,2015-01-11,12:00:00,935.0,2,Sunday,2016-01-17,991.0,2017-01-15,698.0,2018-01-14,666.0,2019-01-13,920.0
189,2015-01-11,13:00:00,523.0,2,Sunday,2016-01-17,380.0,2017-01-15,1002.0,2018-01-14,672.0,2019-01-13,705.0
190,2015-01-11,14:00:00,647.0,2,Sunday,2016-01-17,644.0,2017-01-15,814.0,2018-01-14,967.0,2019-01-13,671.0
191,2015-01-11,15:00:00,490.0,2,Sunday,2016-01-17,389.0,2017-01-15,687.0,2018-01-14,830.0,2019-01-13,424.0
192,2015-01-11,16:00:00,357.0,2,Sunday,2016-01-17,716.0,2017-01-15,411.0,2018-01-14,795.0,2019-01-13,845.0
193,2015-01-11,17:00:00,368.0,2,Sunday,2016-01-17,683.0,2017-01-15,354.0,2018-01-14,496.0,2019-01-13,888.0
194,2015-01-11,18:00:00,214.0,2,Sunday,2016-01-17,399.0,2017-01-15,223.0,2018-01-14,493.0,2019-01-13,721.0
195,2015-01-11,19:00:00,249.0,2,Sunday,2016-01-17,126.0,2017-01-15,249.0,2018-01-14,516.0,2019-01-13,453.0
196,2015-01-11,20:00:00,220.0,2,Sunday,2016-01-17,211.0,2017-01-15,285.0,2018-01-14,402.0,2019-01-13,488.0
197,2015-01-11,21:00:00,156.0,2,Sunday,2016-01-17,383.0,2017-01-15,291.0,2018-01-14,396.0,2019-01-13,466.0
198,,04:00:00,,2,Thursday,2016-01-14,121.0,2017-01-12,220.0,2018-01-11,233.0,2019-01-10,153.0
199,,05:00:00,,2,Thursday,2016-01-14,524.0,2017-01-12,886.0,2018-01-11,719.0,2019-01-10,762.0
200,,06:00:00,,2,Thursday,2016-01-14,1215.0,2017-01-12,1015.0,2018-01-11,795.0,2019-01-10,670.0
201,,07:00:00,,2,Thursday,2016-01-14,831.0,2017-01-12,446.0,2018-01-11,470.0,2019-01-10,483.0
202,,08:00:00,,2,Thursday,2016-01-14,511.0,2017-01-12,216.0,2018-01-11,310.0,2019-01-10,249.0
203,,09:00:00,,2,Thursday,2016-01-14,684.0,2017-01-12,266.0,2018-01-11,392.0,2019-01-10,292.0
204,,10:00:00,,2,Thursday,2016-01-14,558.0,2017-01-12,514.0,2018-01-11,514.0,2019-01-10,418.0
205,,11:00:00,,2,Thursday,2016-01-14,544.0,2017-01-12,432.0,2018-01-11,458.0,2019-01-10,574.0
206,,12:00:00,,2,Thursday,2016-01-14,585.0,2017-01-12,460.0,2018-01-11,528.0,2019-01-10,667.0
207,,13:00:00,,2,Thursday,2016-01-14,770.0,2017-01-12,608.0,2018-01-11,735.0,2019-01-10,471.0
208,,14:00:00,,2,Thursday,2016-01-14,501.0,2017-01-12,595.0,2018-01-11,597.0,2019-01-10,654.0
209,,15:00:00,,2,Thursday,2016-01-14,420.0,2017-01-12,533.0,2018-01-11,540.0,2019-01-10,416.0
210,,16:00:00,,2,Thursday,2016-01-14,386.0,2017-01-12,256.0,2018-01-11,537.0,2019-01-10,397.0
211,,17:00:00,,2,Thursday,2016-01-14,277.0,2017-01-12,346.0,2018-01-11,406.0,2019-01-10,567.0
212,,18:00:00,,2,Thursday,2016-01-14,264.0,2017-01-12,139.0,2018-01-11,315.0,2019-01-10,422.0
213,,19:00:00,,2,Thursday,2016-01-14,229.0,2017-01-12,109.0,2018-01-11,373.0,2019-01-10,426.0
214,,20:00:00,,2,Thursday,2016-01-14,221.0,2017-01-12,301.0,2018-01-11,324.0,2019-01-10,402.0
215,,21:00:00,,2,Thursday,2016-01-14,288.0,2017-01-12,286.0,2018-01-11,319.0,2019-01-10,377.0
216,,04:00:00,,2,Tuesday,2016-01-12,53.0,2017-01-10,53.0,2018-01-09,144.0,2019-01-08,75.0
217,,05:00:00,,2,Tuesday,2016-01-12,173.0,2017-01-10,120.0,2018-01-09,198.0,2019-01-08,131.0
218,,06:00:00,,2,Tuesday,2016-01-12,360.0,2017-01-10,270.0,2018-01-09,262.0,2019-01-08,251.0
219,,07:00:00,,2,Tuesday,2016-01-12,486.0,2017-01-10,319.0,2018-01-09,289.0,2019-01-08,482.0
220,,08:00:00,,2,Tuesday,2016-01-12,429.0,2017-01-10,190.0,2018-01-09,289.0,2019-01-08,308.0
221,,09:00:00,,2,Tuesday,2016-01-12,387.0,2017-01-10,191.0,2018-01-09,264.0,2019-01-08,383.0
222,,10:00:00,,2,Tuesday,2016-01-12,373.0,2017-01-10,206.0,2018-01-09,435.0,2019-01-08,466.0
223,,11:00:00,,2,Tuesday,2016-01-12,174.0,2017-01-10,337.0,2018-01-09,343.0,2019-01-08,274.0
224,,12:00:00,,2,Tuesday,2016-01-12,176.0,2017-01-10,275.0,2018-01-09,249.0,2019-01-08,165.0
225,,13:00:00,,2,Tuesday,2016-01-12,196.0,2017-01-10,61.0,2018-01-09,145.0,2019-01-08,115.0
226,,14:00:00,,2,Tuesday,2016-01-12,233.0,2017-01-10,88.0,2018-01-09,153.0,2019-01-08,155.0
227,,15:00:00,,2,Tuesday,2016-01-12,399.0,2017-01-10,139.0,2018-01-09,169.0,2019-01-08,168.0
228,,16:00:00,,2,Tuesday,2016-01-12,525.0,2017-01-10,422.0,2018-01-09,189.0,2019-01-08,288.0
229,,17:00:00,,2,Tuesday,2016-01-12,242.0,2017-01-10,186.0,2018-01-09,315.0,2019-01-08,368.0
230,,18:00:00,,2,Tuesday,2016-01-12,216.0,2017-01-10,110.0,2018-01-09,144.0,2019-01-08,281.0
231,,19:00:00,,2,Tuesday,2016-01-12,162.0,2017-01-10,103.0,2018-01-09,193.0,2019-01-08,320.0
232,,20:00:00,,2,Tuesday,2016-01-12,195.0,2017-01-10,219.0,2018-01-09,229.0,2019-01-08,321.0
233,,21:00:00,,2,Tuesday,2016-01-12,250.0,2017-01-10,214.0,2018-01-09,250.0,2019-01-08,240.0
234,,04:00:00,,2,Wednesday,2016-01-13,29.0,2017-01-11,44.0,2018-01-10,169.0,2019-01-09,74.0
235,,05:00:00,,2,Wednesday,2016-01-13,162.0,2017-01-11,139.0,2018-01-10,208.0,2019-01-09,146.0
