Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,262.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,668.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,987.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,1160.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,1434.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,704.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,740.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,941.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,1062.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,1193.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,757.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,987.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,637.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,850.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,486.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,238.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,324.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,20.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,287.0,,,2018-12-31,510.0,2019-12-30,739.0
19,,05:00:00,,1,Monday,2016-01-04,764.0,,,2018-12-31,1041.0,2019-12-30,973.0
20,,06:00:00,,1,Monday,2016-01-04,1027.0,,,2018-12-31,760.0,2019-12-30,925.0
21,,07:00:00,,1,Monday,2016-01-04,1234.0,,,2018-12-31,1041.0,2019-12-30,1011.0
22,,08:00:00,,1,Monday,2016-01-04,1225.0,,,2018-12-31,808.0,2019-12-30,1017.0
23,,09:00:00,,1,Monday,2016-01-04,507.0,,,2018-12-31,800.0,2019-12-30,379.0
24,,10:00:00,,1,Monday,2016-01-04,586.0,,,2018-12-31,932.0,2019-12-30,575.0
25,,11:00:00,,1,Monday,2016-01-04,857.0,,,2018-12-31,919.0,2019-12-30,801.0
26,,12:00:00,,1,Monday,2016-01-04,631.0,,,2018-12-31,982.0,2019-12-30,893.0
27,,13:00:00,,1,Monday,2016-01-04,748.0,,,2018-12-31,784.0,2019-12-30,895.0
28,,14:00:00,,1,Monday,2016-01-04,775.0,,,2018-12-31,533.0,2019-12-30,690.0
29,,15:00:00,,1,Monday,2016-01-04,794.0,,,2018-12-31,520.0,2019-12-30,681.0
30,,16:00:00,,1,Monday,2016-01-04,575.0,,,2018-12-31,392.0,2019-12-30,783.0
31,,17:00:00,,1,Monday,2016-01-04,477.0,,,2018-12-31,414.0,2019-12-30,929.0
32,,18:00:00,,1,Monday,2016-01-04,384.0,,,2018-12-31,176.0,2019-12-30,713.0
33,,19:00:00,,1,Monday,2016-01-04,211.0,,,2018-12-31,25.0,2019-12-30,613.0
34,,20:00:00,,1,Monday,2016-01-04,158.0,,,,,2019-12-30,292.0
35,,21:00:00,,1,Monday,2016-01-04,44.0,,,,,2019-12-30,173.0
36,,04:00:00,,1,Saturday,2016-01-09,165.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,374.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,789.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,951.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,937.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,851.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,622.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,709.0,,,,,,
44,,12:00:00,,1,Saturday,2016-01-09,796.0,,,,,,
45,,13:00:00,,1,Saturday,2016-01-09,1011.0,,,,,,
46,,14:00:00,,1,Saturday,2016-01-09,854.0,,,,,,
47,,15:00:00,,1,Saturday,2016-01-09,681.0,,,,,,
48,,16:00:00,,1,Saturday,2016-01-09,623.0,,,,,,
49,,17:00:00,,1,Saturday,2016-01-09,338.0,,,,,,
50,,18:00:00,,1,Saturday,2016-01-09,203.0,,,,,,
51,,19:00:00,,1,Saturday,2016-01-09,33.0,,,,,,
52,,20:00:00,,1,Saturday,2016-01-09,3.0,,,,,,
53,,04:00:00,,1,Sunday,2016-01-10,98.0,2017-01-08,196.0,2018-01-07,290.0,2019-01-06,455.0
54,,05:00:00,,1,Sunday,2016-01-10,387.0,2017-01-08,352.0,2018-01-07,991.0,2019-01-06,1272.0
55,,06:00:00,,1,Sunday,2016-01-10,822.0,2017-01-08,987.0,2018-01-07,1307.0,2019-01-06,1347.0
56,,07:00:00,,1,Sunday,2016-01-10,1679.0,2017-01-08,1282.0,2018-01-07,1349.0,2019-01-06,1175.0
57,,08:00:00,,1,Sunday,2016-01-10,1291.0,2017-01-08,1763.0,2018-01-07,1003.0,2019-01-06,1196.0
58,,09:00:00,,1,Sunday,2016-01-10,1113.0,2017-01-08,1751.0,2018-01-07,922.0,2019-01-06,948.0
59,,10:00:00,,1,Sunday,2016-01-10,1155.0,2017-01-08,1425.0,2018-01-07,1080.0,2019-01-06,1016.0
60,,11:00:00,,1,Sunday,2016-01-10,912.0,2017-01-08,927.0,2018-01-07,1195.0,2019-01-06,1285.0
61,,12:00:00,,1,Sunday,2016-01-10,867.0,2017-01-08,1454.0,2018-01-07,1115.0,2019-01-06,1272.0
62,,13:00:00,,1,Sunday,2016-01-10,1132.0,2017-01-08,1283.0,2018-01-07,801.0,2019-01-06,629.0
63,,14:00:00,,1,Sunday,2016-01-10,922.0,2017-01-08,1367.0,2018-01-07,878.0,2019-01-06,826.0
64,,15:00:00,,1,Sunday,2016-01-10,743.0,2017-01-08,1060.0,2018-01-07,817.0,2019-01-06,809.0
65,,16:00:00,,1,Sunday,2016-01-10,621.0,2017-01-08,1058.0,2018-01-07,792.0,2019-01-06,855.0
66,,17:00:00,,1,Sunday,2016-01-10,1026.0,2017-01-08,1045.0,2018-01-07,839.0,2019-01-06,907.0
67,,18:00:00,,1,Sunday,2016-01-10,465.0,2017-01-08,757.0,2018-01-07,766.0,2019-01-06,783.0
68,,19:00:00,,1,Sunday,2016-01-10,219.0,2017-01-08,568.0,2018-01-07,649.0,2019-01-06,664.0
69,,20:00:00,,1,Sunday,2016-01-10,323.0,2017-01-08,157.0,2018-01-07,341.0,2019-01-06,390.0
70,,21:00:00,,1,Sunday,2016-01-10,15.0,,,2018-01-07,233.0,,
71,,04:00:00,,1,Thursday,2016-01-07,134.0,,,,,,
72,,05:00:00,,1,Thursday,2016-01-07,322.0,,,,,,
73,,06:00:00,,1,Thursday,2016-01-07,463.0,,,,,,
74,,07:00:00,,1,Thursday,2016-01-07,650.0,,,,,,
75,,08:00:00,,1,Thursday,2016-01-07,599.0,,,,,,
76,,09:00:00,,1,Thursday,2016-01-07,354.0,,,,,,
77,,10:00:00,,1,Thursday,2016-01-07,414.0,,,,,,
78,,11:00:00,,1,Thursday,2016-01-07,443.0,,,,,,
79,,12:00:00,,1,Thursday,2016-01-07,769.0,,,,,,
80,,13:00:00,,1,Thursday,2016-01-07,607.0,,,,,,
81,,14:00:00,,1,Thursday,2016-01-07,625.0,,,,,,
82,,15:00:00,,1,Thursday,2016-01-07,657.0,,,,,,
83,,16:00:00,,1,Thursday,2016-01-07,521.0,,,,,,
84,,17:00:00,,1,Thursday,2016-01-07,561.0,,,,,,
85,,18:00:00,,1,Thursday,2016-01-07,498.0,,,,,,
86,,19:00:00,,1,Thursday,2016-01-07,351.0,,,,,,
87,,20:00:00,,1,Thursday,2016-01-07,254.0,,,,,,
88,,21:00:00,,1,Thursday,2016-01-07,41.0,,,,,,
89,,04:00:00,,1,Tuesday,2016-01-05,155.0,,,,,2019-12-31,683.0
90,,05:00:00,,1,Tuesday,2016-01-05,269.0,,,,,2019-12-31,846.0
91,,06:00:00,,1,Tuesday,2016-01-05,636.0,,,,,2019-12-31,760.0
92,,07:00:00,,1,Tuesday,2016-01-05,681.0,,,,,2019-12-31,1067.0
93,,08:00:00,,1,Tuesday,2016-01-05,732.0,,,,,2019-12-31,945.0
94,,09:00:00,,1,Tuesday,2016-01-05,674.0,,,,,2019-12-31,927.0
95,,10:00:00,,1,Tuesday,2016-01-05,430.0,,,,,2019-12-31,804.0
96,,11:00:00,,1,Tuesday,2016-01-05,507.0,,,,,2019-12-31,871.0
97,,12:00:00,,1,Tuesday,2016-01-05,427.0,,,,,2019-12-31,674.0
98,,13:00:00,,1,Tuesday,2016-01-05,629.0,,,,,2019-12-31,637.0
99,,14:00:00,,1,Tuesday,2016-01-05,378.0,,,,,2019-12-31,680.0
100,,15:00:00,,1,Tuesday,2016-01-05,492.0,,,,,2019-12-31,665.0
101,,16:00:00,,1,Tuesday,2016-01-05,513.0,,,,,2019-12-31,508.0
102,,17:00:00,,1,Tuesday,2016-01-05,384.0,,,,,2019-12-31,407.0
103,,18:00:00,,1,Tuesday,2016-01-05,284.0,,,,,2019-12-31,170.0
104,,19:00:00,,1,Tuesday,2016-01-05,189.0,,,,,2019-12-31,66.0
105,,20:00:00,,1,Tuesday,2016-01-05,164.0,,,,,2019-12-31,5.0
106,,21:00:00,,1,Tuesday,2016-01-05,32.0,,,,,,
107,,04:00:00,,1,Wednesday,2016-01-06,136.0,,,,,,
108,,05:00:00,,1,Wednesday,2016-01-06,390.0,,,,,,
109,,06:00:00,,1,Wednesday,2016-01-06,591.0,,,,,,
110,,07:00:00,,1,Wednesday,2016-01-06,647.0,,,,,,
111,,08:00:00,,1,Wednesday,2016-01-06,581.0,,,,,,
112,,09:00:00,,1,Wednesday,2016-01-06,570.0,,,,,,
113,,10:00:00,,1,Wednesday,2016-01-06,437.0,,,,,,
114,,11:00:00,,1,Wednesday,2016-01-06,424.0,,,,,,
115,,12:00:00,,1,Wednesday,2016-01-06,426.0,,,,,,
116,,13:00:00,,1,Wednesday,2016-01-06,546.0,,,,,,
117,,14:00:00,,1,Wednesday,2016-01-06,503.0,,,,,,
118,,15:00:00,,1,Wednesday,2016-01-06,400.0,,,,,,
119,,16:00:00,,1,Wednesday,2016-01-06,335.0,,,,,,
120,,17:00:00,,1,Wednesday,2016-01-06,286.0,,,,,,
121,,18:00:00,,1,Wednesday,2016-01-06,160.0,,,,,,
122,,19:00:00,,1,Wednesday,2016-01-06,187.0,,,,,,
123,,20:00:00,,1,Wednesday,2016-01-06,146.0,,,,,,
124,,21:00:00,,1,Wednesday,2016-01-06,24.0,,,,,,
125,,04:00:00,,2,Friday,2016-01-15,220.0,2017-01-13,360.0,2018-01-12,480.0,2019-01-11,538.0
126,,05:00:00,,2,Friday,2016-01-15,390.0,2017-01-13,657.0,2018-01-12,1142.0,2019-01-11,935.0
127,,06:00:00,,2,Friday,2016-01-15,875.0,2017-01-13,856.0,2018-01-12,1141.0,2019-01-11,1357.0
128,,07:00:00,,2,Friday,2016-01-15,1388.0,2017-01-13,1238.0,2018-01-12,1228.0,2019-01-11,1317.0
129,,08:00:00,,2,Friday,2016-01-15,1109.0,2017-01-13,995.0,2018-01-12,1085.0,2019-01-11,1190.0
130,,09:00:00,,2,Friday,2016-01-15,693.0,2017-01-13,805.0,2018-01-12,995.0,2019-01-11,1086.0
131,,10:00:00,,2,Friday,2016-01-15,723.0,2017-01-13,989.0,2018-01-12,986.0,2019-01-11,1101.0
132,,11:00:00,,2,Friday,2016-01-15,923.0,2017-01-13,1252.0,2018-01-12,1234.0,2019-01-11,1032.0
133,,12:00:00,,2,Friday,2016-01-15,1156.0,2017-01-13,1029.0,2018-01-12,1286.0,2019-01-11,976.0
134,,13:00:00,,2,Friday,2016-01-15,825.0,2017-01-13,849.0,2018-01-12,1085.0,2019-01-11,1338.0
135,,14:00:00,,2,Friday,2016-01-15,909.0,2017-01-13,899.0,2018-01-12,970.0,2019-01-11,1035.0
136,,15:00:00,,2,Friday,2016-01-15,577.0,2017-01-13,768.0,2018-01-12,909.0,2019-01-11,735.0
137,,16:00:00,,2,Friday,2016-01-15,449.0,2017-01-13,675.0,2018-01-12,924.0,2019-01-11,883.0
138,,17:00:00,,2,Friday,2016-01-15,393.0,2017-01-13,524.0,2018-01-12,676.0,2019-01-11,913.0
139,,18:00:00,,2,Friday,2016-01-15,355.0,2017-01-13,556.0,2018-01-12,840.0,2019-01-11,618.0
140,,19:00:00,,2,Friday,2016-01-15,221.0,2017-01-13,341.0,2018-01-12,517.0,2019-01-11,455.0
141,,20:00:00,,2,Friday,2016-01-15,181.0,2017-01-13,93.0,2018-01-12,431.0,2019-01-11,251.0
142,,21:00:00,,2,Friday,2016-01-15,9.0,,,2018-01-12,132.0,,
143,,04:00:00,,2,Monday,2016-01-11,225.0,2017-01-09,315.0,2018-01-08,248.0,2019-01-07,503.0
144,,05:00:00,,2,Monday,2016-01-11,566.0,2017-01-09,908.0,2018-01-08,486.0,2019-01-07,769.0
145,,06:00:00,,2,Monday,2016-01-11,1031.0,2017-01-09,1195.0,2018-01-08,1009.0,2019-01-07,847.0
146,,07:00:00,,2,Monday,2016-01-11,1354.0,2017-01-09,1761.0,2018-01-08,1034.0,2019-01-07,1053.0
147,,08:00:00,,2,Monday,2016-01-11,868.0,2017-01-09,1177.0,2018-01-08,846.0,2019-01-07,1265.0
148,,09:00:00,,2,Monday,2016-01-11,543.0,2017-01-09,1094.0,2018-01-08,870.0,2019-01-07,796.0
149,,10:00:00,,2,Monday,2016-01-11,464.0,2017-01-09,1338.0,2018-01-08,992.0,2019-01-07,831.0
150,,11:00:00,,2,Monday,2016-01-11,975.0,2017-01-09,1040.0,2018-01-08,1010.0,2019-01-07,963.0
151,,12:00:00,,2,Monday,2016-01-11,1199.0,2017-01-09,1085.0,2018-01-08,896.0,2019-01-07,904.0
152,,13:00:00,,2,Monday,2016-01-11,575.0,2017-01-09,963.0,2018-01-08,767.0,2019-01-07,733.0
153,,14:00:00,,2,Monday,2016-01-11,748.0,2017-01-09,730.0,2018-01-08,749.0,2019-01-07,838.0
154,,15:00:00,,2,Monday,2016-01-11,543.0,2017-01-09,705.0,2018-01-08,699.0,2019-01-07,421.0
155,,16:00:00,,2,Monday,2016-01-11,336.0,2017-01-09,745.0,2018-01-08,623.0,2019-01-07,515.0
156,,17:00:00,,2,Monday,2016-01-11,398.0,2017-01-09,682.0,2018-01-08,567.0,2019-01-07,550.0
157,,18:00:00,,2,Monday,2016-01-11,247.0,2017-01-09,355.0,2018-01-08,479.0,2019-01-07,484.0
158,,19:00:00,,2,Monday,2016-01-11,171.0,2017-01-09,401.0,2018-01-08,325.0,2019-01-07,374.0
159,,20:00:00,,2,Monday,2016-01-11,118.0,2017-01-09,73.0,2018-01-08,90.0,2019-01-07,147.0
160,,21:00:00,,2,Monday,2016-01-11,17.0,,,,,,
161,,04:00:00,,2,Saturday,2016-01-16,123.0,2017-01-14,143.0,2018-01-13,254.0,2019-01-12,439.0
162,,05:00:00,,2,Saturday,2016-01-16,307.0,2017-01-14,377.0,2018-01-13,774.0,2019-01-12,767.0
