Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,581.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,858.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,1030.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,890.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,1508.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,922.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,1137.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,1062.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,794.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,1006.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,719.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,739.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,501.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,553.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,566.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,530.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,289.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,452.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,510.0,,,2018-12-31,601.0,2019-12-30,796.0
19,,05:00:00,,1,Monday,2016-01-04,932.0,,,2018-12-31,883.0,2019-12-30,995.0
20,,06:00:00,,1,Monday,2016-01-04,764.0,,,2018-12-31,719.0,2019-12-30,638.0
21,,07:00:00,,1,Monday,2016-01-04,854.0,,,2018-12-31,418.0,2019-12-30,792.0
22,,08:00:00,,1,Monday,2016-01-04,773.0,,,2018-12-31,389.0,2019-12-30,631.0
23,,09:00:00,,1,Monday,2016-01-04,778.0,,,2018-12-31,630.0,2019-12-30,702.0
24,,10:00:00,,1,Monday,2016-01-04,1200.0,,,2018-12-31,689.0,2019-12-30,868.0
25,,11:00:00,,1,Monday,2016-01-04,933.0,,,2018-12-31,507.0,2019-12-30,628.0
26,,12:00:00,,1,Monday,2016-01-04,933.0,,,2018-12-31,414.0,2019-12-30,774.0
27,,13:00:00,,1,Monday,2016-01-04,807.0,,,2018-12-31,329.0,2019-12-30,657.0
28,,14:00:00,,1,Monday,2016-01-04,755.0,,,2018-12-31,248.0,2019-12-30,708.0
29,,15:00:00,,1,Monday,2016-01-04,623.0,,,2018-12-31,149.0,2019-12-30,559.0
30,,16:00:00,,1,Monday,2016-01-04,452.0,,,2018-12-31,156.0,2019-12-30,410.0
31,,17:00:00,,1,Monday,2016-01-04,349.0,,,2018-12-31,183.0,2019-12-30,456.0
32,,18:00:00,,1,Monday,2016-01-04,368.0,,,2018-12-31,121.0,2019-12-30,279.0
33,,19:00:00,,1,Monday,2016-01-04,319.0,,,2018-12-31,131.0,2019-12-30,209.0
34,,20:00:00,,1,Monday,2016-01-04,430.0,,,2018-12-31,118.0,2019-12-30,287.0
35,,21:00:00,,1,Monday,2016-01-04,684.0,,,2018-12-31,199.0,2019-12-30,322.0
36,,04:00:00,,1,Saturday,2016-01-09,541.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,1135.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,1086.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,867.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,1150.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,1146.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,1130.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,786.0,,,,,,
44,,12:00:00,,1,Saturday,2016-01-09,1002.0,,,,,,
45,,13:00:00,,1,Saturday,2016-01-09,1048.0,,,,,,
46,,14:00:00,,1,Saturday,2016-01-09,529.0,,,,,,
47,,15:00:00,,1,Saturday,2016-01-09,569.0,,,,,,
48,,16:00:00,,1,Saturday,2016-01-09,510.0,,,,,,
49,,17:00:00,,1,Saturday,2016-01-09,318.0,,,,,,
50,,18:00:00,,1,Saturday,2016-01-09,211.0,,,,,,
51,,19:00:00,,1,Saturday,2016-01-09,191.0,,,,,,
52,,20:00:00,,1,Saturday,2016-01-09,289.0,,,,,,
53,,21:00:00,,1,Saturday,2016-01-09,450.0,,,,,,
54,,04:00:00,,1,Sunday,2016-01-10,669.0,2017-01-08,496.0,2018-01-07,684.0,2019-01-06,664.0
55,,05:00:00,,1,Sunday,2016-01-10,755.0,2017-01-08,815.0,2018-01-07,1180.0,2019-01-06,756.0
56,,06:00:00,,1,Sunday,2016-01-10,979.0,2017-01-08,877.0,2018-01-07,731.0,2019-01-06,689.0
