Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
0,2019-05-28,10:00:00,0,22,Tuesday
1,2019-05-29,10:00:00,0,22,Wednesday
2,2019-05-30,10:00:00,0,22,Thursday
3,2019-06-01,10:00:00,0,22,Saturday
4,2019-06-02,10:00:00,0,22,Sunday
5,2019-06-03,10:00:00,0,23,Monday
6,2019-06-04,10:00:00,15,23,Tuesday
7,2019-06-04,11:00:00,8,23,Tuesday
8,2019-06-04,12:00:00,47,23,Tuesday
9,2019-06-04,13:00:00,93,23,Tuesday
10,2019-06-05,04:00:00,0,23,Wednesday
11,2019-06-06,10:00:00,29,23,Thursday
12,2019-06-06,11:00:00,36,23,Thursday
13,2019-06-06,12:00:00,38,23,Thursday
14,2019-06-06,13:00:00,15,23,Thursday
15,2019-06-07,10:00:00,0,23,Friday
16,2019-06-08,10:00:00,0,23,Saturday
17,2019-06-09,10:00:00,0,23,Sunday
18,2019-06-10,12:00:00,8,24,Monday
19,2019-06-10,13:00:00,25,24,Monday
20,2019-06-11,10:00:00,14,24,Tuesday
21,2019-06-11,11:00:00,105,24,Tuesday
22,2019-06-11,12:00:00,109,24,Tuesday
23,2019-06-11,13:00:00,89,24,Tuesday
24,2019-06-11,14:00:00,96,24,Tuesday
25,2019-06-11,15:00:00,39,24,Tuesday
26,2019-06-12,10:00:00,26,24,Wednesday
27,2019-06-12,11:00:00,24,24,Wednesday
28,2019-06-12,13:00:00,64,24,Wednesday
29,2019-06-12,14:00:00,75,24,Wednesday
30,2019-06-12,15:00:00,37,24,Wednesday
31,2019-06-13,10:00:00,87,24,Thursday
32,2019-06-13,11:00:00,89,24,Thursday
33,2019-06-13,12:00:00,26,24,Thursday
34,2019-06-13,13:00:00,43,24,Thursday
35,2019-06-13,14:00:00,32,24,Thursday
36,2019-06-13,15:00:00,21,24,Thursday
37,2019-06-14,10:00:00,0,24,Friday
38,2019-06-15,10:00:00,0,24,Saturday
39,2019-06-16,10:00:00,0,24,Sunday
40,2019-06-17,10:00:00,0,25,Monday
41,2019-06-18,10:00:00,0,25,Tuesday
42,2019-06-19,10:00:00,130,25,Wednesday
43,2019-06-19,11:00:00,109,25,Wednesday
44,2019-06-19,12:00:00,140,25,Wednesday
45,2019-06-19,15:00:00,120,25,Wednesday
46,2019-06-20,10:00:00,117,25,Thursday
47,2019-06-20,11:00:00,164,25,Thursday
48,2019-06-20,12:00:00,132,25,Thursday
49,2019-06-20,13:00:00,107,25,Thursday
50,2019-06-21,10:00:00,0,25,Friday
51,2019-06-22,10:00:00,0,25,Saturday
52,2019-06-23,10:00:00,63,25,Sunday
53,2019-06-23,11:00:00,101,25,Sunday
54,2019-06-23,12:00:00,115,25,Sunday
55,2019-06-23,13:00:00,105,25,Sunday
56,2019-06-24,10:00:00,66,26,Monday
57,2019-06-24,11:00:00,108,26,Monday
58,2019-06-24,12:00:00,106,26,Monday
59,2019-06-24,13:00:00,28,26,Monday
60,2019-06-25,10:00:00,71,26,Tuesday
61,2019-06-25,11:00:00,114,26,Tuesday
