Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,06:00:00,,1,Monday,,,2019-12-30,15.0
1,,07:00:00,,1,Monday,2018-12-31,6.0,2019-12-30,7.0
2,,08:00:00,,1,Monday,2018-12-31,4.0,2019-12-30,9.0
3,,09:00:00,,1,Monday,,,2019-12-30,2.0
4,,10:00:00,,1,Monday,,,2019-12-30,6.0
5,,11:00:00,,1,Monday,,,2019-12-30,1.0
6,,12:00:00,,1,Monday,,,2019-12-30,3.0
7,,13:00:00,,1,Monday,2018-12-31,5.0,2019-12-30,3.0
8,,14:00:00,,1,Monday,,,2019-12-30,1.0
9,,16:00:00,,1,Monday,2018-12-31,3.0,,
10,,21:00:00,,1,Monday,2018-12-31,2.0,,
11,,06:00:00,,1,Sunday,2018-01-07,2.0,,
12,,09:00:00,,1,Sunday,2018-01-07,3.0,,
13,,14:00:00,,1,Sunday,2018-01-07,1.0,,
14,,17:00:00,,1,Sunday,2018-01-07,5.0,,
15,,18:00:00,,1,Sunday,2018-01-07,17.0,,
16,,20:00:00,,1,Sunday,2018-01-07,20.0,,
17,,21:00:00,,1,Sunday,2018-01-07,16.0,,
18,,07:00:00,,1,Tuesday,,,2019-12-31,3.0
19,,08:00:00,,1,Tuesday,,,2019-12-31,1.0
20,,09:00:00,,1,Tuesday,,,2019-12-31,5.0
21,,17:00:00,,1,Tuesday,,,2019-12-31,1.0
22,,05:00:00,,2,Friday,2018-01-12,2.0,,
23,,06:00:00,,2,Friday,,,2019-01-11,1.0
24,,09:00:00,,2,Friday,,,2019-01-11,2.0
25,,11:00:00,,2,Friday,,,2019-01-11,1.0
26,,13:00:00,,2,Friday,2018-01-12,3.0,,
27,,15:00:00,,2,Friday,2018-01-12,2.0,,
28,,16:00:00,,2,Friday,,,2019-01-11,1.0
29,,19:00:00,,2,Friday,2018-01-12,21.0,,
30,,21:00:00,,2,Friday,2018-01-12,17.0,,
31,,07:00:00,,2,Monday,,,2019-01-07,7.0
32,,08:00:00,,2,Monday,2018-01-08,1.0,,
33,,10:00:00,,2,Monday,2018-01-08,2.0,2019-01-07,3.0
34,,11:00:00,,2,Monday,,,2019-01-07,3.0
35,,12:00:00,,2,Monday,2018-01-08,3.0,2019-01-07,7.0
36,,13:00:00,,2,Monday,2018-01-08,1.0,,
37,,14:00:00,,2,Monday,2018-01-08,2.0,2019-01-07,3.0
38,,15:00:00,,2,Monday,2018-01-08,2.0,,
39,,16:00:00,,2,Monday,2018-01-08,1.0,2019-01-07,5.0
40,,17:00:00,,2,Monday,2018-01-08,2.0,,
41,,18:00:00,,2,Monday,2018-01-08,1.0,,
42,,20:00:00,,2,Monday,2018-01-08,19.0,,
43,,21:00:00,,2,Monday,2018-01-08,1.0,2019-01-07,2.0
44,,07:00:00,,2,Saturday,,,2019-01-12,3.0
45,,08:00:00,,2,Saturday,2018-01-13,3.0,,
46,,09:00:00,,2,Saturday,2018-01-13,18.0,2019-01-12,5.0
47,,10:00:00,,2,Saturday,2018-01-13,1.0,2019-01-12,3.0
48,,14:00:00,,2,Saturday,2018-01-13,2.0,,
49,,15:00:00,,2,Saturday,2018-01-13,2.0,2019-01-12,8.0
50,,16:00:00,,2,Saturday,,,2019-01-12,4.0
51,,18:00:00,,2,Saturday,2018-01-13,2.0,,
52,,19:00:00,,2,Saturday,2018-01-13,16.0,,
53,,20:00:00,,2,Saturday,2018-01-13,4.0,,
54,,21:00:00,,2,Saturday,,,2019-01-12,1.0
55,,07:00:00,,2,Sunday,,,2019-01-13,2.0
56,,08:00:00,,2,Sunday,,,2019-01-13,2.0
57,,09:00:00,,2,Sunday,2018-01-14,1.0,,
58,,10:00:00,,2,Sunday,2018-01-14,2.0,,
59,,12:00:00,,2,Sunday,2018-01-14,1.0,2019-01-13,3.0
60,,14:00:00,,2,Sunday,2018-01-14,3.0,2019-01-13,2.0
61,,15:00:00,,2,Sunday,,,2019-01-13,2.0
62,,16:00:00,,2,Sunday,,,2019-01-13,2.0
63,,17:00:00,,2,Sunday,2018-01-14,2.0,,
64,,18:00:00,,2,Sunday,2018-01-14,17.0,,
65,,19:00:00,,2,Sunday,2018-01-14,3.0,,
66,,20:00:00,,2,Sunday,2018-01-14,17.0,,
67,,21:00:00,,2,Sunday,2018-01-14,17.0,,
68,,05:00:00,,2,Thursday,,,2019-01-10,1.0
69,,06:00:00,,2,Thursday,,,2019-01-10,5.0
70,,07:00:00,,2,Thursday,,,2019-01-10,3.0
71,,08:00:00,,2,Thursday,2018-01-11,4.0,,
72,,10:00:00,,2,Thursday,,,2019-01-10,3.0
73,,11:00:00,,2,Thursday,,,2019-01-10,4.0
74,,15:00:00,,2,Thursday,2018-01-11,3.0,2019-01-10,10.0
75,,16:00:00,,2,Thursday,,,2019-01-10,1.0
76,,07:00:00,,2,Tuesday,2018-01-09,4.0,,
77,,08:00:00,,2,Tuesday,2018-01-09,2.0,,
78,,10:00:00,,2,Tuesday,2018-01-09,2.0,2019-01-08,5.0
79,,11:00:00,,2,Tuesday,,,2019-01-08,8.0
80,,14:00:00,,2,Tuesday,,,2019-01-08,1.0
81,,15:00:00,,2,Tuesday,2018-01-09,2.0,,
82,,19:00:00,,2,Tuesday,2018-01-09,21.0,2019-01-08,1.0
83,,20:00:00,,2,Tuesday,2018-01-09,17.0,2019-01-08,1.0
84,,21:00:00,,2,Tuesday,,,2019-01-08,2.0
85,,05:00:00,,2,Wednesday,2018-01-10,1.0,,
86,,06:00:00,,2,Wednesday,,,2019-01-09,5.0
87,,07:00:00,,2,Wednesday,,,2019-01-09,1.0
88,,08:00:00,,2,Wednesday,,,2019-01-09,1.0
89,,09:00:00,,2,Wednesday,2018-01-10,1.0,,
90,,12:00:00,,2,Wednesday,2018-01-10,1.0,,
91,,13:00:00,,2,Wednesday,2018-01-10,2.0,,
92,,15:00:00,,2,Wednesday,,,2019-01-09,4.0
93,,17:00:00,,2,Wednesday,2018-01-10,2.0,,
94,,18:00:00,,2,Wednesday,2018-01-10,2.0,,
95,,20:00:00,,2,Wednesday,2018-01-10,21.0,,
96,,21:00:00,,2,Wednesday,2018-01-10,17.0,2019-01-09,2.0
97,,06:00:00,,3,Friday,,,2019-01-18,2.0
98,,07:00:00,,3,Friday,,,2019-01-18,2.0
99,,08:00:00,,3,Friday,,,2019-01-18,7.0
100,,09:00:00,,3,Friday,,,2019-01-18,2.0
101,,11:00:00,,3,Friday,,,2019-01-18,12.0
102,,12:00:00,,3,Friday,,,2019-01-18,1.0
103,,14:00:00,,3,Friday,,,2019-01-18,4.0
104,,17:00:00,,3,Friday,,,2019-01-18,10.0
105,,19:00:00,,3,Friday,2018-01-19,18.0,,
106,,20:00:00,,3,Friday,2018-01-19,2.0,,
107,,21:00:00,,3,Friday,2018-01-19,19.0,2019-01-18,4.0
108,,05:00:00,,3,Monday,2018-01-15,2.0,,
109,,07:00:00,,3,Monday,,,2019-01-14,5.0
