Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,06:00:00,,1,Friday,2016-01-08,341.0,,,,,,
1,,07:00:00,,1,Friday,2016-01-08,528.0,,,,,,
2,,08:00:00,,1,Friday,2016-01-08,815.0,,,,,,
3,,09:00:00,,1,Friday,2016-01-08,1554.0,,,,,,
4,,10:00:00,,1,Friday,2016-01-08,1124.0,,,,,,
5,,11:00:00,,1,Friday,2016-01-08,762.0,,,,,,
6,,12:00:00,,1,Friday,2016-01-08,1357.0,,,,,,
7,,13:00:00,,1,Friday,2016-01-08,1289.0,,,,,,
8,,14:00:00,,1,Friday,2016-01-08,1306.0,,,,,,
9,,15:00:00,,1,Friday,2016-01-08,578.0,,,,,,
10,,16:00:00,,1,Friday,2016-01-08,624.0,,,,,,
11,,17:00:00,,1,Friday,2016-01-08,942.0,,,,,,
12,,18:00:00,,1,Friday,2016-01-08,1029.0,,,,,,
13,,19:00:00,,1,Friday,2016-01-08,1767.0,,,,,,
14,,20:00:00,,1,Friday,2016-01-08,1927.0,,,,,,
15,,21:00:00,,1,Friday,2016-01-08,1937.0,,,,,,
16,,06:00:00,,1,Monday,2016-01-04,347.0,,,2018-12-31,150.0,2019-12-30,340.0
17,,07:00:00,,1,Monday,2016-01-04,588.0,,,2018-12-31,593.0,2019-12-30,898.0
18,,08:00:00,,1,Monday,2016-01-04,1115.0,,,2018-12-31,1338.0,2019-12-30,1326.0
19,,09:00:00,,1,Monday,2016-01-04,1423.0,,,2018-12-31,1558.0,2019-12-30,1641.0
20,,10:00:00,,1,Monday,2016-01-04,1231.0,,,2018-12-31,722.0,2019-12-30,1017.0
21,,11:00:00,,1,Monday,2016-01-04,942.0,,,2018-12-31,697.0,2019-12-30,838.0
22,,12:00:00,,1,Monday,2016-01-04,1227.0,,,2018-12-31,916.0,2019-12-30,1336.0
23,,13:00:00,,1,Monday,2016-01-04,1396.0,,,2018-12-31,1227.0,2019-12-30,1438.0
24,,14:00:00,,1,Monday,2016-01-04,1691.0,,,2018-12-31,860.0,2019-12-30,974.0
