Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
0,2015-01-11,13:00:00,50,2,Sunday
1,2015-01-11,14:00:00,46,2,Sunday
2,2015-01-11,16:00:00,75,2,Sunday
3,2015-01-11,17:00:00,79,2,Sunday
4,2015-01-11,19:00:00,227,2,Sunday
5,2015-01-11,21:00:00,142,2,Sunday
6,2015-01-12,19:00:00,221,3,Monday
7,2015-01-13,15:00:00,63,3,Tuesday
8,2015-01-13,19:00:00,97,3,Tuesday
9,2015-01-13,20:00:00,39,3,Tuesday
10,2015-01-14,15:00:00,154,3,Wednesday
11,2015-01-14,16:00:00,13,3,Wednesday
12,2015-01-14,19:00:00,52,3,Wednesday
13,2015-01-14,20:00:00,70,3,Wednesday
14,2015-01-14,21:00:00,5,3,Wednesday
15,2015-01-15,18:00:00,87,3,Thursday
16,2015-01-15,19:00:00,91,3,Thursday
17,2015-01-15,20:00:00,56,3,Thursday
18,2015-01-15,21:00:00,56,3,Thursday
19,2015-01-16,14:00:00,57,3,Friday
20,2015-01-16,15:00:00,150,3,Friday
21,2015-01-16,16:00:00,29,3,Friday
22,2015-01-17,14:00:00,108,3,Saturday
23,2015-01-17,19:00:00,60,3,Saturday
24,2015-01-17,20:00:00,39,3,Saturday
25,2015-01-17,21:00:00,30,3,Saturday
26,2015-01-18,14:00:00,63,3,Sunday
27,2015-01-18,18:00:00,176,3,Sunday
28,2015-01-18,19:00:00,93,3,Sunday
29,2015-01-18,20:00:00,21,3,Sunday
30,2015-01-18,21:00:00,66,3,Sunday
31,2015-01-19,14:00:00,60,4,Monday
32,2015-01-19,15:00:00,120,4,Monday
33,2015-01-19,18:00:00,48,4,Monday
34,2015-01-19,20:00:00,141,4,Monday
35,2015-01-20,13:00:00,31,4,Tuesday
36,2015-01-20,14:00:00,40,4,Tuesday
37,2015-01-20,19:00:00,23,4,Tuesday
38,2015-01-20,20:00:00,24,4,Tuesday
39,2015-01-21,14:00:00,61,4,Wednesday
40,2015-01-21,15:00:00,103,4,Wednesday
41,2015-01-21,18:00:00,43,4,Wednesday
42,2015-01-22,09:00:00,73,4,Thursday
43,2015-01-22,14:00:00,64,4,Thursday
44,2015-01-22,15:00:00,20,4,Thursday
45,2015-01-22,18:00:00,152,4,Thursday
46,2015-01-22,20:00:00,36,4,Thursday
47,2015-01-23,14:00:00,70,4,Friday
48,2015-01-23,15:00:00,101,4,Friday
49,2015-01-23,18:00:00,21,4,Friday
50,2015-01-23,19:00:00,92,4,Friday
51,2015-01-23,20:00:00,89,4,Friday
52,2015-01-23,21:00:00,71,4,Friday
53,2015-01-24,14:00:00,72,4,Saturday
54,2015-01-24,18:00:00,231,4,Saturday
55,2015-01-24,19:00:00,83,4,Saturday
56,2015-01-25,14:00:00,57,4,Sunday
57,2015-01-25,19:00:00,101,4,Sunday
58,2015-01-25,21:00:00,91,4,Sunday
59,2015-01-26,14:00:00,100,5,Monday
60,2015-01-26,16:00:00,109,5,Monday
61,2015-01-26,19:00:00,44,5,Monday
62,2015-01-27,14:00:00,49,5,Tuesday
63,2015-01-27,19:00:00,108,5,Tuesday
64,2015-01-27,20:00:00,54,5,Tuesday
65,2015-01-28,14:00:00,51,5,Wednesday
66,2015-01-28,16:00:00,71,5,Wednesday
67,2015-01-28,19:00:00,167,5,Wednesday
68,2015-01-28,20:00:00,21,5,Wednesday
69,2015-01-29,14:00:00,64,5,Thursday
70,2015-01-29,18:00:00,30,5,Thursday
71,2015-01-29,19:00:00,160,5,Thursday
72,2015-01-29,20:00:00,48,5,Thursday
73,2015-01-30,14:00:00,119,5,Friday
74,2015-01-30,16:00:00,47,5,Friday
75,2015-01-30,18:00:00,35,5,Friday
76,2015-01-30,19:00:00,138,5,Friday
77,2015-01-30,20:00:00,16,5,Friday
78,2015-01-30,21:00:00,140,5,Friday
79,2015-01-31,14:00:00,99,5,Saturday
80,2015-01-31,18:00:00,127,5,Saturday
81,2015-01-31,19:00:00,71,5,Saturday
82,2015-01-31,20:00:00,42,5,Saturday
83,2015-01-31,21:00:00,95,5,Saturday
84,2015-02-01,14:00:00,74,5,Sunday
85,2015-02-01,19:00:00,110,5,Sunday
86,2015-02-01,20:00:00,78,5,Sunday
87,2015-02-01,21:00:00,19,5,Sunday
88,2015-02-02,14:00:00,76,6,Monday
89,2015-02-02,15:00:00,37,6,Monday
90,2015-02-02,16:00:00,37,6,Monday
91,2015-02-02,18:00:00,52,6,Monday
92,2015-02-03,18:00:00,104,6,Tuesday
93,2015-02-03,19:00:00,37,6,Tuesday
94,2015-02-03,20:00:00,40,6,Tuesday
95,2015-02-04,14:00:00,63,6,Wednesday
96,2015-02-04,15:00:00,54,6,Wednesday
97,2015-02-04,18:00:00,39,6,Wednesday
98,2015-02-04,19:00:00,93,6,Wednesday
99,2015-02-04,20:00:00,32,6,Wednesday
100,2015-02-04,21:00:00,120,6,Wednesday
101,2015-02-05,14:00:00,69,6,Thursday
102,2015-02-05,19:00:00,56,6,Thursday
103,2015-02-05,20:00:00,43,6,Thursday
104,2015-02-05,21:00:00,30,6,Thursday
105,2015-02-06,14:00:00,83,6,Friday
106,2015-02-06,15:00:00,72,6,Friday
107,2015-02-06,19:00:00,88,6,Friday
108,2015-02-06,20:00:00,10,6,Friday
109,2015-02-07,14:00:00,78,6,Saturday
110,2015-02-07,17:00:00,26,6,Saturday
111,2015-02-07,18:00:00,92,6,Saturday
112,2015-02-07,19:00:00,52,6,Saturday
113,2015-02-07,20:00:00,67,6,Saturday
114,2015-02-07,21:00:00,141,6,Saturday
115,2015-02-08,14:00:00,60,6,Sunday
116,2015-02-08,17:00:00,69,6,Sunday
117,2015-02-08,18:00:00,79,6,Sunday
118,2015-02-08,19:00:00,26,6,Sunday
119,2015-02-08,20:00:00,27,6,Sunday
120,2015-02-08,21:00:00,136,6,Sunday
121,2015-02-09,14:00:00,73,7,Monday
122,2015-02-09,15:00:00,35,7,Monday
123,2015-02-09,19:00:00,31,7,Monday
124,2015-02-10,14:00:00,52,7,Tuesday
125,2015-02-10,18:00:00,48,7,Tuesday
126,2015-02-10,19:00:00,61,7,Tuesday
127,2015-02-10,20:00:00,44,7,Tuesday
128,2015-02-11,14:00:00,84,7,Wednesday
129,2015-02-11,17:00:00,26,7,Wednesday
130,2015-02-11,18:00:00,93,7,Wednesday
131,2015-02-11,19:00:00,43,7,Wednesday
132,2015-02-11,20:00:00,74,7,Wednesday
133,2015-02-11,21:00:00,29,7,Wednesday
134,2015-02-12,14:00:00,58,7,Thursday
135,2015-02-12,18:00:00,54,7,Thursday
