Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
0,2015-01-11,06:00:00,151,2,Sunday
1,2015-01-11,07:00:00,47,2,Sunday
2,2015-01-11,08:00:00,47,2,Sunday
3,2015-01-11,09:00:00,73,2,Sunday
4,2015-01-11,10:00:00,53,2,Sunday
5,2015-01-11,11:00:00,47,2,Sunday
6,2015-01-11,12:00:00,70,2,Sunday
7,2015-01-11,13:00:00,98,2,Sunday
8,2015-01-11,14:00:00,170,2,Sunday
9,2015-01-11,15:00:00,128,2,Sunday
10,2015-01-11,16:00:00,46,2,Sunday
11,2015-01-11,17:00:00,65,2,Sunday
12,2015-01-11,18:00:00,112,2,Sunday
13,2015-01-11,19:00:00,152,2,Sunday
14,2015-01-11,20:00:00,158,2,Sunday
15,2015-01-11,21:00:00,116,2,Sunday
16,2015-01-12,06:00:00,166,3,Monday
17,2015-01-12,07:00:00,58,3,Monday
18,2015-01-12,08:00:00,58,3,Monday
19,2015-01-12,09:00:00,120,3,Monday
20,2015-01-12,10:00:00,104,3,Monday
21,2015-01-12,11:00:00,69,3,Monday
22,2015-01-12,12:00:00,89,3,Monday
23,2015-01-12,13:00:00,161,3,Monday
24,2015-01-12,14:00:00,138,3,Monday
25,2015-01-12,15:00:00,149,3,Monday
26,2015-01-12,16:00:00,70,3,Monday
27,2015-01-12,17:00:00,105,3,Monday
28,2015-01-12,18:00:00,78,3,Monday
29,2015-01-12,19:00:00,134,3,Monday
30,2015-01-12,20:00:00,132,3,Monday
31,2015-01-12,21:00:00,210,3,Monday
32,2015-01-13,06:00:00,171,3,Tuesday
33,2015-01-13,07:00:00,38,3,Tuesday
34,2015-01-13,08:00:00,47,3,Tuesday
35,2015-01-13,09:00:00,74,3,Tuesday
36,2015-01-13,10:00:00,87,3,Tuesday
37,2015-01-13,11:00:00,87,3,Tuesday
38,2015-01-13,12:00:00,122,3,Tuesday
39,2015-01-13,13:00:00,122,3,Tuesday
40,2015-01-13,14:00:00,140,3,Tuesday
41,2015-01-13,15:00:00,103,3,Tuesday
