Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,465.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,633.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,657.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,740.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,867.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,585.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,715.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,776.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,739.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,796.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,500.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,590.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,533.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,577.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,527.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,292.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,151.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,45.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,840.0,,,2018-12-31,525.0,2019-12-30,782.0
19,,05:00:00,,1,Monday,2016-01-04,1023.0,,,2018-12-31,1057.0,2019-12-30,801.0
20,,06:00:00,,1,Monday,2016-01-04,1040.0,,,2018-12-31,1076.0,2019-12-30,1035.0
21,,07:00:00,,1,Monday,2016-01-04,931.0,,,2018-12-31,1159.0,2019-12-30,783.0
22,,08:00:00,,1,Monday,2016-01-04,755.0,,,2018-12-31,1021.0,2019-12-30,1012.0
23,,09:00:00,,1,Monday,2016-01-04,845.0,,,2018-12-31,868.0,2019-12-30,986.0
24,,10:00:00,,1,Monday,2016-01-04,944.0,,,2018-12-31,1116.0,2019-12-30,784.0
25,,11:00:00,,1,Monday,2016-01-04,842.0,,,2018-12-31,1021.0,2019-12-30,944.0
26,,12:00:00,,1,Monday,2016-01-04,984.0,,,2018-12-31,877.0,2019-12-30,674.0
27,,13:00:00,,1,Monday,2016-01-04,859.0,,,2018-12-31,940.0,2019-12-30,864.0
28,,14:00:00,,1,Monday,2016-01-04,981.0,,,2018-12-31,882.0,2019-12-30,822.0
29,,15:00:00,,1,Monday,2016-01-04,725.0,,,2018-12-31,716.0,2019-12-30,642.0
30,,16:00:00,,1,Monday,2016-01-04,747.0,,,2018-12-31,709.0,2019-12-30,545.0
31,,17:00:00,,1,Monday,2016-01-04,749.0,,,2018-12-31,442.0,2019-12-30,803.0
32,,18:00:00,,1,Monday,2016-01-04,495.0,,,2018-12-31,308.0,2019-12-30,606.0
33,,19:00:00,,1,Monday,2016-01-04,445.0,,,2018-12-31,101.0,2019-12-30,660.0
34,,20:00:00,,1,Monday,2016-01-04,181.0,,,2018-12-31,21.0,2019-12-30,441.0
35,,21:00:00,,1,Monday,2016-01-04,179.0,,,,,2019-12-30,114.0
36,,04:00:00,,1,Saturday,2016-01-09,448.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,732.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,497.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,519.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,782.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,790.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,611.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,675.0,,,,,,
44,,12:00:00,,1,Saturday,2016-01-09,636.0,,,,,,
45,,13:00:00,,1,Saturday,2016-01-09,694.0,,,,,,
46,,14:00:00,,1,Saturday,2016-01-09,501.0,,,,,,
47,,15:00:00,,1,Saturday,2016-01-09,434.0,,,,,,
48,,16:00:00,,1,Saturday,2016-01-09,399.0,,,,,,
49,,17:00:00,,1,Saturday,2016-01-09,371.0,,,,,,
50,,18:00:00,,1,Saturday,2016-01-09,194.0,,,,,,
51,,19:00:00,,1,Saturday,2016-01-09,72.0,,,,,,
52,,04:00:00,,1,Sunday,2016-01-10,232.0,2017-01-08,184.0,2018-01-07,503.0,2019-01-06,665.0
53,,05:00:00,,1,Sunday,2016-01-10,225.0,2017-01-08,613.0,2018-01-07,704.0,2019-01-06,853.0
54,,06:00:00,,1,Sunday,2016-01-10,446.0,2017-01-08,729.0,2018-01-07,897.0,2019-01-06,1165.0
55,,07:00:00,,1,Sunday,2016-01-10,455.0,2017-01-08,797.0,2018-01-07,1005.0,2019-01-06,1139.0
56,,08:00:00,,1,Sunday,2016-01-10,592.0,2017-01-08,498.0,2018-01-07,1177.0,2019-01-06,962.0
57,,09:00:00,,1,Sunday,2016-01-10,692.0,2017-01-08,802.0,2018-01-07,1288.0,2019-01-06,827.0
58,,10:00:00,,1,Sunday,2016-01-10,843.0,2017-01-08,743.0,2018-01-07,965.0,2019-01-06,1074.0
59,,11:00:00,,1,Sunday,2016-01-10,722.0,2017-01-08,825.0,2018-01-07,771.0,2019-01-06,951.0
60,,12:00:00,,1,Sunday,2016-01-10,916.0,2017-01-08,992.0,2018-01-07,971.0,2019-01-06,680.0
61,,13:00:00,,1,Sunday,2016-01-10,760.0,2017-01-08,585.0,2018-01-07,915.0,2019-01-06,577.0
62,,14:00:00,,1,Sunday,2016-01-10,916.0,2017-01-08,1134.0,2018-01-07,855.0,2019-01-06,968.0
63,,15:00:00,,1,Sunday,2016-01-10,776.0,2017-01-08,837.0,2018-01-07,832.0,2019-01-06,572.0
64,,16:00:00,,1,Sunday,2016-01-10,858.0,2017-01-08,719.0,2018-01-07,917.0,2019-01-06,839.0
65,,17:00:00,,1,Sunday,2016-01-10,704.0,2017-01-08,790.0,2018-01-07,1020.0,2019-01-06,700.0
66,,18:00:00,,1,Sunday,2016-01-10,493.0,2017-01-08,611.0,2018-01-07,607.0,2019-01-06,676.0
67,,19:00:00,,1,Sunday,2016-01-10,271.0,2017-01-08,520.0,2018-01-07,608.0,2019-01-06,694.0
68,,20:00:00,,1,Sunday,2016-01-10,231.0,2017-01-08,440.0,2018-01-07,589.0,2019-01-06,562.0
69,,21:00:00,,1,Sunday,2016-01-10,90.0,2017-01-08,148.0,2018-01-07,183.0,2019-01-06,228.0
70,,04:00:00,,1,Thursday,2016-01-07,546.0,,,,,,
71,,05:00:00,,1,Thursday,2016-01-07,774.0,,,,,,
72,,06:00:00,,1,Thursday,2016-01-07,722.0,,,,,,
73,,07:00:00,,1,Thursday,2016-01-07,737.0,,,,,,
74,,08:00:00,,1,Thursday,2016-01-07,747.0,,,,,,
75,,09:00:00,,1,Thursday,2016-01-07,649.0,,,,,,
76,,10:00:00,,1,Thursday,2016-01-07,600.0,,,,,,
77,,11:00:00,,1,Thursday,2016-01-07,730.0,,,,,,
78,,12:00:00,,1,Thursday,2016-01-07,716.0,,,,,,
79,,13:00:00,,1,Thursday,2016-01-07,625.0,,,,,,
80,,14:00:00,,1,Thursday,2016-01-07,630.0,,,,,,
81,,15:00:00,,1,Thursday,2016-01-07,471.0,,,,,,
82,,16:00:00,,1,Thursday,2016-01-07,630.0,,,,,,
83,,17:00:00,,1,Thursday,2016-01-07,587.0,,,,,,
84,,18:00:00,,1,Thursday,2016-01-07,362.0,,,,,,
85,,19:00:00,,1,Thursday,2016-01-07,332.0,,,,,,
86,,20:00:00,,1,Thursday,2016-01-07,127.0,,,,,,
87,,21:00:00,,1,Thursday,2016-01-07,103.0,,,,,,
88,,04:00:00,,1,Tuesday,2016-01-05,491.0,,,,,2019-12-31,361.0
89,,05:00:00,,1,Tuesday,2016-01-05,901.0,,,,,2019-12-31,784.0
90,,06:00:00,,1,Tuesday,2016-01-05,843.0,,,,,2019-12-31,969.0
91,,07:00:00,,1,Tuesday,2016-01-05,747.0,,,,,2019-12-31,970.0
92,,08:00:00,,1,Tuesday,2016-01-05,618.0,,,,,2019-12-31,912.0
93,,09:00:00,,1,Tuesday,2016-01-05,735.0,,,,,2019-12-31,884.0
94,,10:00:00,,1,Tuesday,2016-01-05,588.0,,,,,2019-12-31,774.0
95,,11:00:00,,1,Tuesday,2016-01-05,974.0,,,,,2019-12-31,775.0
96,,12:00:00,,1,Tuesday,2016-01-05,610.0,,,,,2019-12-31,786.0
97,,13:00:00,,1,Tuesday,2016-01-05,586.0,,,,,2019-12-31,732.0
98,,14:00:00,,1,Tuesday,2016-01-05,637.0,,,,,2019-12-31,747.0
99,,15:00:00,,1,Tuesday,2016-01-05,755.0,,,,,2019-12-31,630.0
100,,16:00:00,,1,Tuesday,2016-01-05,727.0,,,,,2019-12-31,473.0
101,,17:00:00,,1,Tuesday,2016-01-05,620.0,,,,,2019-12-31,430.0
102,,18:00:00,,1,Tuesday,2016-01-05,407.0,,,,,2019-12-31,204.0
103,,19:00:00,,1,Tuesday,2016-01-05,343.0,,,,,2019-12-31,128.0
