Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,29.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,409.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,629.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,399.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,230.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,202.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,285.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,240.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,296.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,402.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,277.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,207.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,136.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,111.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,150.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,31.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,86.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,83.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,117.0,,,2018-12-31,356.0,2019-12-30,457.0
19,,05:00:00,,1,Monday,2016-01-04,518.0,,,2018-12-31,711.0,2019-12-30,717.0
20,,06:00:00,,1,Monday,2016-01-04,812.0,,,2018-12-31,619.0,2019-12-30,893.0
21,,07:00:00,,1,Monday,2016-01-04,333.0,,,2018-12-31,318.0,2019-12-30,501.0
22,,08:00:00,,1,Monday,2016-01-04,266.0,,,2018-12-31,503.0,2019-12-30,434.0
23,,09:00:00,,1,Monday,2016-01-04,212.0,,,2018-12-31,521.0,2019-12-30,650.0
24,,10:00:00,,1,Monday,2016-01-04,542.0,,,2018-12-31,496.0,2019-12-30,556.0
25,,11:00:00,,1,Monday,2016-01-04,391.0,,,2018-12-31,404.0,2019-12-30,695.0
26,,12:00:00,,1,Monday,2016-01-04,277.0,,,2018-12-31,388.0,2019-12-30,495.0
27,,13:00:00,,1,Monday,2016-01-04,432.0,,,2018-12-31,252.0,2019-12-30,650.0
28,,14:00:00,,1,Monday,2016-01-04,296.0,,,2018-12-31,158.0,2019-12-30,376.0
29,,15:00:00,,1,Monday,2016-01-04,164.0,,,2018-12-31,204.0,2019-12-30,501.0
30,,16:00:00,,1,Monday,2016-01-04,394.0,,,2018-12-31,155.0,2019-12-30,799.0
31,,17:00:00,,1,Monday,2016-01-04,177.0,,,2018-12-31,193.0,2019-12-30,524.0
32,,18:00:00,,1,Monday,2016-01-04,232.0,,,2018-12-31,173.0,2019-12-30,435.0
33,,19:00:00,,1,Monday,2016-01-04,100.0,,,2018-12-31,115.0,2019-12-30,95.0
34,,20:00:00,,1,Monday,2016-01-04,109.0,,,2018-12-31,160.0,2019-12-30,219.0
35,,21:00:00,,1,Monday,2016-01-04,217.0,,,2018-12-31,130.0,2019-12-30,425.0
36,,04:00:00,,1,Saturday,2016-01-09,34.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,284.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,525.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,482.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,267.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,222.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,293.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,380.0,,,,,,
44,,12:00:00,,1,Saturday,2016-01-09,272.0,,,,,,
45,,13:00:00,,1,Saturday,2016-01-09,242.0,,,,,,
46,,14:00:00,,1,Saturday,2016-01-09,120.0,,,,,,
47,,15:00:00,,1,Saturday,2016-01-09,7.0,,,,,,
48,,16:00:00,,1,Saturday,2016-01-09,21.0,,,,,,
49,,17:00:00,,1,Saturday,2016-01-09,62.0,,,,,,
50,,18:00:00,,1,Saturday,2016-01-09,124.0,,,,,,
51,,19:00:00,,1,Saturday,2016-01-09,14.0,,,,,,
52,,20:00:00,,1,Saturday,2016-01-09,40.0,,,,,,
53,,21:00:00,,1,Saturday,2016-01-09,114.0,,,,,,
54,,04:00:00,,1,Sunday,2016-01-10,20.0,2017-01-08,340.0,2018-01-07,252.0,2019-01-06,218.0
55,,05:00:00,,1,Sunday,2016-01-10,336.0,2017-01-08,535.0,2018-01-07,815.0,2019-01-06,591.0
56,,06:00:00,,1,Sunday,2016-01-10,600.0,2017-01-08,546.0,2018-01-07,823.0,2019-01-06,796.0
57,,07:00:00,,1,Sunday,2016-01-10,418.0,2017-01-08,257.0,2018-01-07,166.0,2019-01-06,244.0
58,,08:00:00,,1,Sunday,2016-01-10,236.0,2017-01-08,322.0,2018-01-07,44.0,2019-01-06,355.0
59,,09:00:00,,1,Sunday,2016-01-10,252.0,2017-01-08,425.0,2018-01-07,235.0,2019-01-06,432.0
60,,10:00:00,,1,Sunday,2016-01-10,484.0,2017-01-08,392.0,2018-01-07,432.0,2019-01-06,494.0
61,,11:00:00,,1,Sunday,2016-01-10,352.0,2017-01-08,372.0,2018-01-07,360.0,2019-01-06,412.0
62,,12:00:00,,1,Sunday,2016-01-10,355.0,2017-01-08,588.0,2018-01-07,486.0,2019-01-06,625.0
63,,13:00:00,,1,Sunday,2016-01-10,486.0,2017-01-08,537.0,2018-01-07,497.0,2019-01-06,371.0
64,,14:00:00,,1,Sunday,2016-01-10,228.0,2017-01-08,324.0,2018-01-07,247.0,2019-01-06,458.0
65,,15:00:00,,1,Sunday,2016-01-10,240.0,2017-01-08,249.0,2018-01-07,338.0,2019-01-06,429.0
66,,16:00:00,,1,Sunday,2016-01-10,202.0,2017-01-08,303.0,2018-01-07,258.0,2019-01-06,451.0
67,,17:00:00,,1,Sunday,2016-01-10,149.0,2017-01-08,214.0,2018-01-07,147.0,2019-01-06,245.0
68,,18:00:00,,1,Sunday,2016-01-10,215.0,2017-01-08,175.0,2018-01-07,177.0,2019-01-06,185.0
69,,19:00:00,,1,Sunday,2016-01-10,88.0,2017-01-08,24.0,2018-01-07,42.0,2019-01-06,121.0
70,,20:00:00,,1,Sunday,2016-01-10,83.0,2017-01-08,78.0,2018-01-07,65.0,2019-01-06,178.0
71,,21:00:00,,1,Sunday,2016-01-10,115.0,2017-01-08,125.0,2018-01-07,114.0,2019-01-06,161.0
72,,04:00:00,,1,Thursday,2016-01-07,26.0,,,,,,
73,,05:00:00,,1,Thursday,2016-01-07,337.0,,,,,,
74,,06:00:00,,1,Thursday,2016-01-07,653.0,,,,,,
75,,07:00:00,,1,Thursday,2016-01-07,410.0,,,,,,
76,,08:00:00,,1,Thursday,2016-01-07,211.0,,,,,,
77,,09:00:00,,1,Thursday,2016-01-07,246.0,,,,,,
78,,10:00:00,,1,Thursday,2016-01-07,321.0,,,,,,
79,,11:00:00,,1,Thursday,2016-01-07,243.0,,,,,,
80,,12:00:00,,1,Thursday,2016-01-07,263.0,,,,,,
81,,13:00:00,,1,Thursday,2016-01-07,291.0,,,,,,
82,,14:00:00,,1,Thursday,2016-01-07,377.0,,,,,,
83,,15:00:00,,1,Thursday,2016-01-07,131.0,,,,,,
84,,16:00:00,,1,Thursday,2016-01-07,129.0,,,,,,
85,,17:00:00,,1,Thursday,2016-01-07,125.0,,,,,,
86,,18:00:00,,1,Thursday,2016-01-07,149.0,,,,,,
87,,19:00:00,,1,Thursday,2016-01-07,38.0,,,,,,
88,,20:00:00,,1,Thursday,2016-01-07,61.0,,,,,,
89,,21:00:00,,1,Thursday,2016-01-07,126.0,,,,,,
90,,04:00:00,,1,Tuesday,2016-01-05,63.0,,,,,2019-12-31,352.0
91,,05:00:00,,1,Tuesday,2016-01-05,368.0,,,,,2019-12-31,538.0
92,,06:00:00,,1,Tuesday,2016-01-05,612.0,,,,,2019-12-31,664.0
93,,07:00:00,,1,Tuesday,2016-01-05,683.0,,,,,2019-12-31,802.0
94,,08:00:00,,1,Tuesday,2016-01-05,217.0,,,,,2019-12-31,367.0
95,,09:00:00,,1,Tuesday,2016-01-05,361.0,,,,,2019-12-31,417.0
96,,10:00:00,,1,Tuesday,2016-01-05,392.0,,,,,2019-12-31,677.0
97,,11:00:00,,1,Tuesday,2016-01-05,334.0,,,,,2019-12-31,756.0
98,,12:00:00,,1,Tuesday,2016-01-05,387.0,,,,,2019-12-31,439.0
99,,13:00:00,,1,Tuesday,2016-01-05,394.0,,,,,2019-12-31,584.0
100,,14:00:00,,1,Tuesday,2016-01-05,185.0,,,,,2019-12-31,390.0
101,,15:00:00,,1,Tuesday,2016-01-05,137.0,,,,,2019-12-31,291.0
102,,16:00:00,,1,Tuesday,2016-01-05,151.0,,,,,2019-12-31,230.0
103,,17:00:00,,1,Tuesday,2016-01-05,151.0,,,,,2019-12-31,169.0
104,,18:00:00,,1,Tuesday,2016-01-05,116.0,,,,,2019-12-31,128.0
105,,19:00:00,,1,Tuesday,2016-01-05,69.0,,,,,2019-12-31,87.0
106,,20:00:00,,1,Tuesday,2016-01-05,130.0,,,,,2019-12-31,204.0
107,,21:00:00,,1,Tuesday,2016-01-05,121.0,,,,,2019-12-31,298.0
108,,04:00:00,,1,Wednesday,2016-01-06,43.0,,,,,,
109,,05:00:00,,1,Wednesday,2016-01-06,413.0,,,,,,
110,,06:00:00,,1,Wednesday,2016-01-06,637.0,,,,,,
111,,07:00:00,,1,Wednesday,2016-01-06,365.0,,,,,,
112,,08:00:00,,1,Wednesday,2016-01-06,273.0,,,,,,
113,,09:00:00,,1,Wednesday,2016-01-06,265.0,,,,,,
114,,10:00:00,,1,Wednesday,2016-01-06,183.0,,,,,,
115,,11:00:00,,1,Wednesday,2016-01-06,333.0,,,,,,
116,,12:00:00,,1,Wednesday,2016-01-06,364.0,,,,,,
117,,13:00:00,,1,Wednesday,2016-01-06,254.0,,,,,,
118,,14:00:00,,1,Wednesday,2016-01-06,164.0,,,,,,
119,,15:00:00,,1,Wednesday,2016-01-06,115.0,,,,,,
120,,16:00:00,,1,Wednesday,2016-01-06,91.0,,,,,,
121,,17:00:00,,1,Wednesday,2016-01-06,155.0,,,,,,
122,,18:00:00,,1,Wednesday,2016-01-06,105.0,,,,,,
123,,19:00:00,,1,Wednesday,2016-01-06,100.0,,,,,,
124,,20:00:00,,1,Wednesday,2016-01-06,106.0,,,,,,
125,,21:00:00,,1,Wednesday,2016-01-06,118.0,,,,,,
126,,04:00:00,,2,Friday,2016-01-15,34.0,2017-01-13,338.0,2018-01-12,317.0,2019-01-11,373.0
