Index,Date,Hour,PMIS - Total Customer Throughput (Unadjusted),Week Number,Weekday
0,2015-01-11,05:00:00,5,2,Sunday
1,2015-01-11,06:00:00,91,2,Sunday
2,2015-01-11,07:00:00,145,2,Sunday
3,2015-01-11,17:00:00,68,2,Sunday
4,2015-01-11,18:00:00,85,2,Sunday
5,2015-01-12,05:00:00,22,3,Monday
6,2015-01-12,06:00:00,119,3,Monday
7,2015-01-12,07:00:00,107,3,Monday
8,2015-01-12,08:00:00,5,3,Monday
9,2015-01-12,09:00:00,72,3,Monday
10,2015-01-12,10:00:00,24,3,Monday
11,2015-01-12,18:00:00,59,3,Monday
12,2015-01-12,19:00:00,39,3,Monday
13,2015-01-13,05:00:00,22,3,Tuesday
14,2015-01-13,06:00:00,92,3,Tuesday
15,2015-01-13,07:00:00,102,3,Tuesday
16,2015-01-13,08:00:00,17,3,Tuesday
17,2015-01-13,09:00:00,25,3,Tuesday
18,2015-01-13,10:00:00,31,3,Tuesday
19,2015-01-13,17:00:00,36,3,Tuesday
20,2015-01-13,18:00:00,44,3,Tuesday
21,2015-01-14,05:00:00,10,3,Wednesday
22,2015-01-14,06:00:00,119,3,Wednesday
23,2015-01-14,07:00:00,108,3,Wednesday
24,2015-01-14,10:00:00,66,3,Wednesday
25,2015-01-14,11:00:00,1,3,Wednesday
26,2015-01-14,17:00:00,49,3,Wednesday
27,2015-01-14,18:00:00,25,3,Wednesday
28,2015-01-15,05:00:00,56,3,Thursday
29,2015-01-15,06:00:00,178,3,Thursday
30,2015-01-15,07:00:00,71,3,Thursday
31,2015-01-15,09:00:00,36,3,Thursday
32,2015-01-15,10:00:00,58,3,Thursday
33,2015-01-15,18:00:00,44,3,Thursday
34,2015-01-15,19:00:00,36,3,Thursday
35,2015-01-16,05:00:00,12,3,Friday
36,2015-01-16,06:00:00,111,3,Friday
37,2015-01-16,07:00:00,113,3,Friday
38,2015-01-16,16:00:00,81,3,Friday
39,2015-01-16,17:00:00,47,3,Friday
40,2015-01-17,05:00:00,18,3,Saturday
41,2015-01-17,06:00:00,107,3,Saturday
42,2015-01-17,07:00:00,48,3,Saturday
43,2015-01-17,17:00:00,71,3,Saturday
44,2015-01-17,18:00:00,55,3,Saturday
45,2015-01-18,05:00:00,13,3,Sunday
46,2015-01-18,06:00:00,100,3,Sunday
47,2015-01-18,07:00:00,85,3,Sunday
48,2015-01-18,18:00:00,33,3,Sunday
49,2015-01-18,19:00:00,131,3,Sunday
50,2015-01-19,05:00:00,33,4,Monday
51,2015-01-19,06:00:00,188,4,Monday
52,2015-01-19,07:00:00,34,4,Monday
53,2015-01-19,10:00:00,164,4,Monday
54,2015-01-19,17:00:00,78,4,Monday
55,2015-01-19,18:00:00,89,4,Monday
56,2015-01-20,05:00:00,23,4,Tuesday
