Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,147.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,248.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,509.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,676.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,780.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,816.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,538.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,484.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,434.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,694.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,644.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,746.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,495.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,234.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,242.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,311.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,301.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,315.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,120.0,,,2018-12-31,296.0,2019-12-30,276.0
19,,05:00:00,,1,Monday,2016-01-04,326.0,,,2018-12-31,332.0,2019-12-30,471.0
20,,06:00:00,,1,Monday,2016-01-04,483.0,,,2018-12-31,585.0,2019-12-30,871.0
21,,07:00:00,,1,Monday,2016-01-04,916.0,,,2018-12-31,861.0,2019-12-30,1177.0
22,,08:00:00,,1,Monday,2016-01-04,1208.0,,,2018-12-31,1318.0,2019-12-30,1281.0
23,,09:00:00,,1,Monday,2016-01-04,987.0,,,2018-12-31,990.0,2019-12-30,1239.0
24,,10:00:00,,1,Monday,2016-01-04,597.0,,,2018-12-31,685.0,2019-12-30,764.0
25,,11:00:00,,1,Monday,2016-01-04,485.0,,,2018-12-31,602.0,2019-12-30,718.0
26,,12:00:00,,1,Monday,2016-01-04,705.0,,,2018-12-31,710.0,2019-12-30,948.0
27,,13:00:00,,1,Monday,2016-01-04,643.0,,,2018-12-31,670.0,2019-12-30,744.0
28,,14:00:00,,1,Monday,2016-01-04,603.0,,,2018-12-31,668.0,2019-12-30,788.0
29,,15:00:00,,1,Monday,2016-01-04,842.0,,,2018-12-31,689.0,2019-12-30,861.0
30,,16:00:00,,1,Monday,2016-01-04,446.0,,,2018-12-31,435.0,2019-12-30,838.0
31,,17:00:00,,1,Monday,2016-01-04,546.0,,,2018-12-31,220.0,2019-12-30,509.0
32,,18:00:00,,1,Monday,2016-01-04,471.0,,,2018-12-31,134.0,2019-12-30,687.0
33,,19:00:00,,1,Monday,2016-01-04,509.0,,,2018-12-31,445.0,2019-12-30,415.0
34,,20:00:00,,1,Monday,2016-01-04,367.0,,,2018-12-31,205.0,2019-12-30,546.0
35,,21:00:00,,1,Monday,2016-01-04,371.0,,,2018-12-31,332.0,2019-12-30,814.0
36,,04:00:00,,1,Saturday,2016-01-09,211.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,195.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,371.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,443.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,704.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,782.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,391.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,372.0,,,,,,
