Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,146.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,232.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,354.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,461.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,543.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,553.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,577.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,481.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,470.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,436.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,421.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,286.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,317.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,291.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,327.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,569.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,118.0,,,,,,
17,,04:00:00,,1,Monday,2016-01-04,154.0,,,2018-12-31,52.0,2019-12-30,208.0
18,,05:00:00,,1,Monday,2016-01-04,374.0,,,2018-12-31,187.0,2019-12-30,398.0
19,,06:00:00,,1,Monday,2016-01-04,403.0,,,2018-12-31,614.0,2019-12-30,404.0
20,,07:00:00,,1,Monday,2016-01-04,557.0,,,2018-12-31,448.0,2019-12-30,611.0
21,,08:00:00,,1,Monday,2016-01-04,703.0,,,2018-12-31,602.0,2019-12-30,821.0
22,,09:00:00,,1,Monday,2016-01-04,715.0,,,2018-12-31,420.0,2019-12-30,1045.0
23,,10:00:00,,1,Monday,2016-01-04,830.0,,,2018-12-31,429.0,2019-12-30,544.0
24,,11:00:00,,1,Monday,2016-01-04,450.0,,,2018-12-31,521.0,2019-12-30,623.0
25,,12:00:00,,1,Monday,2016-01-04,1033.0,,,2018-12-31,760.0,2019-12-30,979.0
26,,13:00:00,,1,Monday,2016-01-04,745.0,,,2018-12-31,284.0,2019-12-30,501.0
27,,14:00:00,,1,Monday,2016-01-04,527.0,,,2018-12-31,454.0,2019-12-30,609.0
28,,15:00:00,,1,Monday,2016-01-04,388.0,,,2018-12-31,405.0,2019-12-30,599.0
29,,16:00:00,,1,Monday,2016-01-04,316.0,,,2018-12-31,321.0,2019-12-30,472.0
30,,17:00:00,,1,Monday,2016-01-04,469.0,,,2018-12-31,368.0,2019-12-30,436.0
31,,18:00:00,,1,Monday,2016-01-04,495.0,,,2018-12-31,297.0,2019-12-30,452.0
32,,19:00:00,,1,Monday,2016-01-04,466.0,,,2018-12-31,301.0,2019-12-30,291.0
33,,20:00:00,,1,Monday,2016-01-04,192.0,,,2018-12-31,123.0,2019-12-30,155.0
34,,21:00:00,,1,Monday,,,,,,,2019-12-30,386.0
35,,04:00:00,,1,Saturday,2016-01-09,150.0,,,,,,
36,,05:00:00,,1,Saturday,2016-01-09,158.0,,,,,,
37,,06:00:00,,1,Saturday,2016-01-09,215.0,,,,,,
38,,07:00:00,,1,Saturday,2016-01-09,430.0,,,,,,
39,,08:00:00,,1,Saturday,2016-01-09,415.0,,,,,,
40,,09:00:00,,1,Saturday,2016-01-09,675.0,,,,,,
41,,10:00:00,,1,Saturday,2016-01-09,237.0,,,,,,
42,,11:00:00,,1,Saturday,2016-01-09,311.0,,,,,,
43,,12:00:00,,1,Saturday,2016-01-09,464.0,,,,,,
44,,13:00:00,,1,Saturday,2016-01-09,643.0,,,,,,
45,,14:00:00,,1,Saturday,2016-01-09,385.0,,,,,,
46,,15:00:00,,1,Saturday,2016-01-09,250.0,,,,,,
47,,16:00:00,,1,Saturday,2016-01-09,144.0,,,,,,
48,,17:00:00,,1,Saturday,2016-01-09,181.0,,,,,,
49,,18:00:00,,1,Saturday,2016-01-09,428.0,,,,,,
50,,19:00:00,,1,Saturday,2016-01-09,412.0,,,,,,
51,,20:00:00,,1,Saturday,2016-01-09,63.0,,,,,,
52,,04:00:00,,1,Sunday,2016-01-10,126.0,2017-01-08,76.0,2018-01-07,111.0,2019-01-06,110.0
53,,05:00:00,,1,Sunday,2016-01-10,170.0,2017-01-08,233.0,2018-01-07,229.0,2019-01-06,236.0
54,,06:00:00,,1,Sunday,2016-01-10,153.0,2017-01-08,199.0,2018-01-07,271.0,2019-01-06,561.0
55,,07:00:00,,1,Sunday,2016-01-10,267.0,2017-01-08,458.0,2018-01-07,439.0,2019-01-06,879.0
56,,08:00:00,,1,Sunday,2016-01-10,394.0,2017-01-08,686.0,2018-01-07,698.0,2019-01-06,716.0
57,,09:00:00,,1,Sunday,2016-01-10,515.0,2017-01-08,530.0,2018-01-07,578.0,2019-01-06,403.0
58,,10:00:00,,1,Sunday,2016-01-10,562.0,2017-01-08,532.0,2018-01-07,502.0,2019-01-06,500.0
59,,11:00:00,,1,Sunday,2016-01-10,258.0,2017-01-08,371.0,2018-01-07,497.0,2019-01-06,724.0
60,,12:00:00,,1,Sunday,2016-01-10,607.0,2017-01-08,776.0,2018-01-07,845.0,2019-01-06,723.0
61,,13:00:00,,1,Sunday,2016-01-10,660.0,2017-01-08,476.0,2018-01-07,491.0,2019-01-06,435.0
62,,14:00:00,,1,Sunday,2016-01-10,400.0,2017-01-08,508.0,2018-01-07,484.0,2019-01-06,465.0
63,,15:00:00,,1,Sunday,2016-01-10,255.0,2017-01-08,502.0,2018-01-07,358.0,2019-01-06,381.0
64,,16:00:00,,1,Sunday,2016-01-10,304.0,2017-01-08,423.0,2018-01-07,373.0,2019-01-06,415.0
65,,17:00:00,,1,Sunday,2016-01-10,326.0,2017-01-08,502.0,2018-01-07,471.0,2019-01-06,264.0
66,,18:00:00,,1,Sunday,2016-01-10,333.0,2017-01-08,525.0,2018-01-07,463.0,2019-01-06,415.0
67,,19:00:00,,1,Sunday,2016-01-10,458.0,2017-01-08,576.0,2018-01-07,460.0,2019-01-06,312.0
68,,20:00:00,,1,Sunday,2016-01-10,163.0,2017-01-08,227.0,2018-01-07,284.0,2019-01-06,241.0
69,,04:00:00,,1,Thursday,2016-01-07,78.0,,,,,,
70,,05:00:00,,1,Thursday,2016-01-07,203.0,,,,,,
71,,06:00:00,,1,Thursday,2016-01-07,199.0,,,,,,
72,,07:00:00,,1,Thursday,2016-01-07,486.0,,,,,,
73,,08:00:00,,1,Thursday,2016-01-07,479.0,,,,,,
74,,09:00:00,,1,Thursday,2016-01-07,320.0,,,,,,
75,,10:00:00,,1,Thursday,2016-01-07,574.0,,,,,,
76,,11:00:00,,1,Thursday,2016-01-07,352.0,,,,,,
77,,12:00:00,,1,Thursday,2016-01-07,571.0,,,,,,
78,,13:00:00,,1,Thursday,2016-01-07,388.0,,,,,,
79,,14:00:00,,1,Thursday,2016-01-07,318.0,,,,,,
80,,15:00:00,,1,Thursday,2016-01-07,287.0,,,,,,
81,,16:00:00,,1,Thursday,2016-01-07,245.0,,,,,,
82,,17:00:00,,1,Thursday,2016-01-07,358.0,,,,,,
83,,18:00:00,,1,Thursday,2016-01-07,453.0,,,,,,
84,,19:00:00,,1,Thursday,2016-01-07,254.0,,,,,,
85,,20:00:00,,1,Thursday,2016-01-07,85.0,,,,,,
86,,04:00:00,,1,Tuesday,2016-01-05,155.0,,,,,2019-12-31,67.0
87,,05:00:00,,1,Tuesday,2016-01-05,212.0,,,,,2019-12-31,157.0
88,,06:00:00,,1,Tuesday,2016-01-05,262.0,,,,,2019-12-31,475.0
89,,07:00:00,,1,Tuesday,2016-01-05,450.0,,,,,2019-12-31,486.0
90,,08:00:00,,1,Tuesday,2016-01-05,533.0,,,,,2019-12-31,813.0
91,,09:00:00,,1,Tuesday,2016-01-05,537.0,,,,,2019-12-31,486.0
92,,10:00:00,,1,Tuesday,2016-01-05,628.0,,,,,2019-12-31,418.0
93,,11:00:00,,1,Tuesday,2016-01-05,462.0,,,,,2019-12-31,365.0
94,,12:00:00,,1,Tuesday,2016-01-05,458.0,,,,,2019-12-31,656.0
95,,13:00:00,,1,Tuesday,2016-01-05,559.0,,,,,2019-12-31,363.0
96,,14:00:00,,1,Tuesday,2016-01-05,342.0,,,,,2019-12-31,487.0
97,,15:00:00,,1,Tuesday,2016-01-05,297.0,,,,,2019-12-31,371.0
98,,16:00:00,,1,Tuesday,2016-01-05,406.0,,,,,2019-12-31,381.0
99,,17:00:00,,1,Tuesday,2016-01-05,267.0,,,,,2019-12-31,281.0
100,,18:00:00,,1,Tuesday,2016-01-05,380.0,,,,,2019-12-31,303.0
101,,19:00:00,,1,Tuesday,2016-01-05,406.0,,,,,2019-12-31,247.0
102,,20:00:00,,1,Tuesday,2016-01-05,94.0,,,,,2019-12-31,200.0
103,,04:00:00,,1,Wednesday,2016-01-06,138.0,,,,,,
104,,05:00:00,,1,Wednesday,2016-01-06,259.0,,,,,,
105,,06:00:00,,1,Wednesday,2016-01-06,253.0,,,,,,
106,,07:00:00,,1,Wednesday,2016-01-06,481.0,,,,,,
107,,08:00:00,,1,Wednesday,2016-01-06,391.0,,,,,,
108,,09:00:00,,1,Wednesday,2016-01-06,615.0,,,,,,
109,,10:00:00,,1,Wednesday,2016-01-06,454.0,,,,,,
110,,11:00:00,,1,Wednesday,2016-01-06,463.0,,,,,,
111,,12:00:00,,1,Wednesday,2016-01-06,809.0,,,,,,
112,,13:00:00,,1,Wednesday,2016-01-06,537.0,,,,,,
113,,14:00:00,,1,Wednesday,2016-01-06,304.0,,,,,,
114,,15:00:00,,1,Wednesday,2016-01-06,252.0,,,,,,
115,,16:00:00,,1,Wednesday,2016-01-06,244.0,,,,,,
116,,17:00:00,,1,Wednesday,2016-01-06,294.0,,,,,,
117,,18:00:00,,1,Wednesday,2016-01-06,372.0,,,,,,
118,,19:00:00,,1,Wednesday,2016-01-06,227.0,,,,,,
119,,20:00:00,,1,Wednesday,2016-01-06,292.0,,,,,,
120,,04:00:00,,2,Friday,2016-01-15,172.0,2017-01-13,76.0,2018-01-12,46.0,2019-01-11,83.0
121,,05:00:00,,2,Friday,2016-01-15,227.0,2017-01-13,182.0,2018-01-12,138.0,2019-01-11,252.0
122,,06:00:00,,2,Friday,2016-01-15,322.0,2017-01-13,321.0,2018-01-12,264.0,2019-01-11,323.0
123,,07:00:00,,2,Friday,2016-01-15,547.0,2017-01-13,507.0,2018-01-12,439.0,2019-01-11,615.0
124,,08:00:00,,2,Friday,2016-01-15,559.0,2017-01-13,790.0,2018-01-12,641.0,2019-01-11,616.0
125,,09:00:00,,2,Friday,2016-01-15,754.0,2017-01-13,594.0,2018-01-12,470.0,2019-01-11,410.0
126,,10:00:00,,2,Friday,2016-01-15,545.0,2017-01-13,306.0,2018-01-12,266.0,2019-01-11,407.0
127,,11:00:00,,2,Friday,2016-01-15,347.0,2017-01-13,441.0,2018-01-12,494.0,2019-01-11,503.0
128,,12:00:00,,2,Friday,2016-01-15,575.0,2017-01-13,800.0,2018-01-12,581.0,2019-01-11,484.0
129,,13:00:00,,2,Friday,2016-01-15,536.0,2017-01-13,459.0,2018-01-12,393.0,2019-01-11,333.0
130,,14:00:00,,2,Friday,2016-01-15,423.0,2017-01-13,514.0,2018-01-12,349.0,2019-01-11,424.0
131,,15:00:00,,2,Friday,2016-01-15,328.0,2017-01-13,382.0,2018-01-12,463.0,2019-01-11,428.0
132,,16:00:00,,2,Friday,2016-01-15,330.0,2017-01-13,407.0,2018-01-12,347.0,2019-01-11,473.0
133,,17:00:00,,2,Friday,2016-01-15,372.0,2017-01-13,480.0,2018-01-12,441.0,2019-01-11,277.0
134,,18:00:00,,2,Friday,2016-01-15,390.0,2017-01-13,571.0,2018-01-12,441.0,2019-01-11,366.0
135,,19:00:00,,2,Friday,2016-01-15,365.0,2017-01-13,258.0,2018-01-12,392.0,2019-01-11,315.0
136,,20:00:00,,2,Friday,2016-01-15,141.0,2017-01-13,190.0,2018-01-12,118.0,2019-01-11,212.0
137,,21:00:00,,2,Friday,2016-01-15,45.0,,,,,,
138,,04:00:00,,2,Monday,2016-01-11,77.0,2017-01-09,62.0,2018-01-08,84.0,2019-01-07,71.0
139,,05:00:00,,2,Monday,2016-01-11,289.0,2017-01-09,253.0,2018-01-08,165.0,2019-01-07,165.0
140,,06:00:00,,2,Monday,2016-01-11,230.0,2017-01-09,496.0,2018-01-08,372.0,2019-01-07,493.0
141,,07:00:00,,2,Monday,2016-01-11,501.0,2017-01-09,775.0,2018-01-08,465.0,2019-01-07,679.0
142,,08:00:00,,2,Monday,2016-01-11,677.0,2017-01-09,769.0,2018-01-08,621.0,2019-01-07,856.0
143,,09:00:00,,2,Monday,2016-01-11,643.0,2017-01-09,637.0,2018-01-08,591.0,2019-01-07,761.0
144,,10:00:00,,2,Monday,2016-01-11,592.0,2017-01-09,487.0,2018-01-08,419.0,2019-01-07,467.0
145,,11:00:00,,2,Monday,2016-01-11,387.0,2017-01-09,500.0,2018-01-08,451.0,2019-01-07,516.0
146,,12:00:00,,2,Monday,2016-01-11,690.0,2017-01-09,691.0,2018-01-08,652.0,2019-01-07,600.0
147,,13:00:00,,2,Monday,2016-01-11,511.0,2017-01-09,782.0,2018-01-08,298.0,2019-01-07,288.0
148,,14:00:00,,2,Monday,2016-01-11,461.0,2017-01-09,566.0,2018-01-08,300.0,2019-01-07,342.0
149,,15:00:00,,2,Monday,2016-01-11,296.0,2017-01-09,508.0,2018-01-08,357.0,2019-01-07,467.0
150,,16:00:00,,2,Monday,2016-01-11,280.0,2017-01-09,442.0,2018-01-08,298.0,2019-01-07,372.0
151,,17:00:00,,2,Monday,2016-01-11,271.0,2017-01-09,302.0,2018-01-08,322.0,2019-01-07,480.0
152,,18:00:00,,2,Monday,2016-01-11,284.0,2017-01-09,400.0,2018-01-08,306.0,2019-01-07,507.0
153,,19:00:00,,2,Monday,2016-01-11,207.0,2017-01-09,460.0,2018-01-08,319.0,2019-01-07,321.0
154,,20:00:00,,2,Monday,2016-01-11,155.0,2017-01-09,230.0,2018-01-08,102.0,2019-01-07,97.0
155,,04:00:00,,2,Saturday,2016-01-16,160.0,2017-01-14,26.0,2018-01-13,104.0,2019-01-12,62.0
156,,05:00:00,,2,Saturday,2016-01-16,278.0,2017-01-14,98.0,2018-01-13,301.0,2019-01-12,160.0
157,,06:00:00,,2,Saturday,2016-01-16,201.0,2017-01-14,174.0,2018-01-13,371.0,2019-01-12,400.0
158,,07:00:00,,2,Saturday,2016-01-16,440.0,2017-01-14,509.0,2018-01-13,402.0,2019-01-12,542.0
159,,08:00:00,,2,Saturday,2016-01-16,550.0,2017-01-14,684.0,2018-01-13,619.0,2019-01-12,688.0
160,,09:00:00,,2,Saturday,2016-01-16,417.0,2017-01-14,383.0,2018-01-13,574.0,2019-01-12,373.0
161,,10:00:00,,2,Saturday,2016-01-16,358.0,2017-01-14,411.0,2018-01-13,352.0,2019-01-12,416.0
162,,11:00:00,,2,Saturday,2016-01-16,274.0,2017-01-14,369.0,2018-01-13,420.0,2019-01-12,536.0
163,,12:00:00,,2,Saturday,2016-01-16,414.0,2017-01-14,536.0,2018-01-13,555.0,2019-01-12,426.0
164,,13:00:00,,2,Saturday,2016-01-16,534.0,2017-01-14,297.0,2018-01-13,226.0,2019-01-12,247.0
165,,14:00:00,,2,Saturday,2016-01-16,235.0,2017-01-14,417.0,2018-01-13,223.0,2019-01-12,242.0
166,,15:00:00,,2,Saturday,2016-01-16,238.0,2017-01-14,325.0,2018-01-13,291.0,2019-01-12,236.0
167,,16:00:00,,2,Saturday,2016-01-16,199.0,2017-01-14,285.0,2018-01-13,383.0,2019-01-12,303.0
168,,17:00:00,,2,Saturday,2016-01-16,120.0,2017-01-14,285.0,2018-01-13,350.0,2019-01-12,364.0
169,,18:00:00,,2,Saturday,2016-01-16,526.0,2017-01-14,345.0,2018-01-13,371.0,2019-01-12,409.0
170,,19:00:00,,2,Saturday,2016-01-16,279.0,2017-01-14,343.0,2018-01-13,318.0,2019-01-12,225.0
171,,20:00:00,,2,Saturday,2016-01-16,260.0,2017-01-14,154.0,2018-01-13,68.0,2019-01-12,111.0
172,2015-01-11,04:00:00,191.0,2,Sunday,2016-01-17,105.0,2017-01-15,72.0,2018-01-14,200.0,2019-01-13,78.0
173,2015-01-11,05:00:00,354.0,2,Sunday,2016-01-17,218.0,2017-01-15,142.0,2018-01-14,231.0,2019-01-13,136.0
174,2015-01-11,06:00:00,260.0,2,Sunday,2016-01-17,140.0,2017-01-15,158.0,2018-01-14,310.0,2019-01-13,360.0
175,2015-01-11,07:00:00,194.0,2,Sunday,2016-01-17,337.0,2017-01-15,346.0,2018-01-14,471.0,2019-01-13,580.0
176,2015-01-11,08:00:00,454.0,2,Sunday,2016-01-17,568.0,2017-01-15,666.0,2018-01-14,643.0,2019-01-13,944.0
177,2015-01-11,09:00:00,638.0,2,Sunday,2016-01-17,560.0,2017-01-15,386.0,2018-01-14,488.0,2019-01-13,684.0
178,2015-01-11,10:00:00,660.0,2,Sunday,2016-01-17,685.0,2017-01-15,287.0,2018-01-14,390.0,2019-01-13,421.0
179,2015-01-11,11:00:00,312.0,2,Sunday,2016-01-17,381.0,2017-01-15,409.0,2018-01-14,508.0,2019-01-13,572.0
180,2015-01-11,12:00:00,580.0,2,Sunday,2016-01-17,600.0,2017-01-15,657.0,2018-01-14,745.0,2019-01-13,555.0
