Index,Date_x,Hour,PMIS - Total Customer Throughput (Unadjusted)_x,Week Number,Weekday,Date_y,PMIS - Total Customer Throughput (Unadjusted)_y,Date_x.1,PMIS - Total Customer Throughput (Unadjusted)_x.1,Date_y.1,PMIS - Total Customer Throughput (Unadjusted)_y.1,Date,PMIS - Total Customer Throughput (Unadjusted)
0,,04:00:00,,1,Friday,2016-01-08,120.0,,,,,,
1,,05:00:00,,1,Friday,2016-01-08,382.0,,,,,,
2,,06:00:00,,1,Friday,2016-01-08,487.0,,,,,,
3,,07:00:00,,1,Friday,2016-01-08,589.0,,,,,,
4,,08:00:00,,1,Friday,2016-01-08,503.0,,,,,,
5,,09:00:00,,1,Friday,2016-01-08,751.0,,,,,,
6,,10:00:00,,1,Friday,2016-01-08,845.0,,,,,,
7,,11:00:00,,1,Friday,2016-01-08,501.0,,,,,,
8,,12:00:00,,1,Friday,2016-01-08,473.0,,,,,,
9,,13:00:00,,1,Friday,2016-01-08,502.0,,,,,,
10,,14:00:00,,1,Friday,2016-01-08,366.0,,,,,,
11,,15:00:00,,1,Friday,2016-01-08,751.0,,,,,,
12,,16:00:00,,1,Friday,2016-01-08,401.0,,,,,,
13,,17:00:00,,1,Friday,2016-01-08,501.0,,,,,,
14,,18:00:00,,1,Friday,2016-01-08,300.0,,,,,,
15,,19:00:00,,1,Friday,2016-01-08,286.0,,,,,,
16,,20:00:00,,1,Friday,2016-01-08,176.0,,,,,,
17,,21:00:00,,1,Friday,2016-01-08,66.0,,,,,,
18,,04:00:00,,1,Monday,2016-01-04,457.0,,,2018-12-31,256.0,2019-12-30,687.0
19,,05:00:00,,1,Monday,2016-01-04,471.0,,,2018-12-31,834.0,2019-12-30,1081.0
20,,06:00:00,,1,Monday,2016-01-04,781.0,,,2018-12-31,653.0,2019-12-30,810.0
21,,07:00:00,,1,Monday,2016-01-04,792.0,,,2018-12-31,637.0,2019-12-30,812.0
22,,08:00:00,,1,Monday,2016-01-04,827.0,,,2018-12-31,546.0,2019-12-30,1010.0
23,,09:00:00,,1,Monday,2016-01-04,875.0,,,2018-12-31,885.0,2019-12-30,883.0
24,,10:00:00,,1,Monday,2016-01-04,747.0,,,2018-12-31,826.0,2019-12-30,487.0
25,,11:00:00,,1,Monday,2016-01-04,746.0,,,2018-12-31,779.0,2019-12-30,1048.0
26,,12:00:00,,1,Monday,2016-01-04,428.0,,,2018-12-31,552.0,2019-12-30,734.0
27,,13:00:00,,1,Monday,2016-01-04,802.0,,,2018-12-31,597.0,2019-12-30,609.0
28,,14:00:00,,1,Monday,2016-01-04,643.0,,,2018-12-31,714.0,2019-12-30,658.0
29,,15:00:00,,1,Monday,2016-01-04,645.0,,,2018-12-31,586.0,2019-12-30,731.0
30,,16:00:00,,1,Monday,2016-01-04,463.0,,,2018-12-31,469.0,2019-12-30,788.0
31,,17:00:00,,1,Monday,2016-01-04,856.0,,,2018-12-31,393.0,2019-12-30,749.0
32,,18:00:00,,1,Monday,2016-01-04,338.0,,,2018-12-31,351.0,2019-12-30,647.0
33,,19:00:00,,1,Monday,2016-01-04,555.0,,,2018-12-31,230.0,2019-12-30,631.0
34,,20:00:00,,1,Monday,2016-01-04,220.0,,,2018-12-31,67.0,2019-12-30,392.0
35,,21:00:00,,1,Monday,2016-01-04,145.0,,,2018-12-31,51.0,2019-12-30,350.0
36,,04:00:00,,1,Saturday,2016-01-09,135.0,,,,,,
37,,05:00:00,,1,Saturday,2016-01-09,283.0,,,,,,
38,,06:00:00,,1,Saturday,2016-01-09,253.0,,,,,,
39,,07:00:00,,1,Saturday,2016-01-09,451.0,,,,,,
40,,08:00:00,,1,Saturday,2016-01-09,689.0,,,,,,
41,,09:00:00,,1,Saturday,2016-01-09,788.0,,,,,,
42,,10:00:00,,1,Saturday,2016-01-09,704.0,,,,,,
43,,11:00:00,,1,Saturday,2016-01-09,401.0,,,,,,
44,,12:00:00,,1,Saturday,2016-01-09,296.0,,,,,,
45,,13:00:00,,1,Saturday,2016-01-09,386.0,,,,,,
46,,14:00:00,,1,Saturday,2016-01-09,336.0,,,,,,
47,,15:00:00,,1,Saturday,2016-01-09,316.0,,,,,,
48,,16:00:00,,1,Saturday,2016-01-09,417.0,,,,,,
49,,17:00:00,,1,Saturday,2016-01-09,308.0,,,,,,
50,,18:00:00,,1,Saturday,2016-01-09,288.0,,,,,,
51,,19:00:00,,1,Saturday,2016-01-09,167.0,,,,,,
52,,20:00:00,,1,Saturday,2016-01-09,22.0,,,,,,
53,,21:00:00,,1,Saturday,2016-01-09,55.0,,,,,,
54,,04:00:00,,1,Sunday,2016-01-10,55.0,2017-01-08,35.0,2018-01-07,308.0,2019-01-06,353.0
55,,05:00:00,,1,Sunday,2016-01-10,157.0,2017-01-08,192.0,2018-01-07,648.0,2019-01-06,771.0
56,,06:00:00,,1,Sunday,2016-01-10,328.0,2017-01-08,488.0,2018-01-07,457.0,2019-01-06,663.0
57,,07:00:00,,1,Sunday,2016-01-10,278.0,2017-01-08,875.0,2018-01-07,500.0,2019-01-06,402.0
58,,08:00:00,,1,Sunday,2016-01-10,917.0,2017-01-08,461.0,2018-01-07,667.0,2019-01-06,756.0
59,,09:00:00,,1,Sunday,2016-01-10,812.0,2017-01-08,735.0,2018-01-07,987.0,2019-01-06,899.0
60,,10:00:00,,1,Sunday,2016-01-10,827.0,2017-01-08,562.0,2018-01-07,799.0,2019-01-06,825.0
61,,11:00:00,,1,Sunday,2016-01-10,330.0,2017-01-08,659.0,2018-01-07,677.0,2019-01-06,1043.0
62,,12:00:00,,1,Sunday,2016-01-10,627.0,2017-01-08,850.0,2018-01-07,495.0,2019-01-06,635.0
63,,13:00:00,,1,Sunday,2016-01-10,649.0,2017-01-08,552.0,2018-01-07,584.0,2019-01-06,849.0
64,,14:00:00,,1,Sunday,2016-01-10,746.0,2017-01-08,599.0,2018-01-07,634.0,2019-01-06,698.0
65,,15:00:00,,1,Sunday,2016-01-10,924.0,2017-01-08,534.0,2018-01-07,613.0,2019-01-06,935.0
66,,16:00:00,,1,Sunday,2016-01-10,408.0,2017-01-08,501.0,2018-01-07,656.0,2019-01-06,886.0
67,,17:00:00,,1,Sunday,2016-01-10,712.0,2017-01-08,376.0,2018-01-07,726.0,2019-01-06,682.0
68,,18:00:00,,1,Sunday,2016-01-10,574.0,2017-01-08,575.0,2018-01-07,499.0,2019-01-06,490.0
69,,19:00:00,,1,Sunday,2016-01-10,447.0,2017-01-08,557.0,2018-01-07,658.0,2019-01-06,666.0
70,,20:00:00,,1,Sunday,2016-01-10,341.0,2017-01-08,361.0,2018-01-07,297.0,2019-01-06,187.0
71,,21:00:00,,1,Sunday,2016-01-10,80.0,2017-01-08,551.0,2018-01-07,284.0,2019-01-06,130.0
72,,04:00:00,,1,Thursday,2016-01-07,311.0,,,,,,
73,,05:00:00,,1,Thursday,2016-01-07,238.0,,,,,,
74,,06:00:00,,1,Thursday,2016-01-07,489.0,,,,,,
75,,07:00:00,,1,Thursday,2016-01-07,481.0,,,,,,
76,,08:00:00,,1,Thursday,2016-01-07,606.0,,,,,,
77,,09:00:00,,1,Thursday,2016-01-07,811.0,,,,,,
78,,10:00:00,,1,Thursday,2016-01-07,580.0,,,,,,
79,,11:00:00,,1,Thursday,2016-01-07,498.0,,,,,,
80,,12:00:00,,1,Thursday,2016-01-07,344.0,,,,,,
81,,13:00:00,,1,Thursday,2016-01-07,538.0,,,,,,
82,,14:00:00,,1,Thursday,2016-01-07,497.0,,,,,,
83,,15:00:00,,1,Thursday,2016-01-07,711.0,,,,,,
84,,16:00:00,,1,Thursday,2016-01-07,434.0,,,,,,
85,,17:00:00,,1,Thursday,2016-01-07,527.0,,,,,,
86,,18:00:00,,1,Thursday,2016-01-07,290.0,,,,,,
87,,19:00:00,,1,Thursday,2016-01-07,183.0,,,,,,
88,,20:00:00,,1,Thursday,2016-01-07,99.0,,,,,,
89,,21:00:00,,1,Thursday,2016-01-07,101.0,,,,,,
90,,04:00:00,,1,Tuesday,2016-01-05,591.0,,,,,2019-12-31,494.0
91,,05:00:00,,1,Tuesday,2016-01-05,356.0,,,,,2019-12-31,697.0
92,,06:00:00,,1,Tuesday,2016-01-05,527.0,,,,,2019-12-31,573.0
93,,07:00:00,,1,Tuesday,2016-01-05,806.0,,,,,2019-12-31,661.0
94,,08:00:00,,1,Tuesday,2016-01-05,725.0,,,,,2019-12-31,1012.0
95,,09:00:00,,1,Tuesday,2016-01-05,736.0,,,,,2019-12-31,840.0
96,,10:00:00,,1,Tuesday,2016-01-05,767.0,,,,,2019-12-31,653.0
97,,11:00:00,,1,Tuesday,2016-01-05,504.0,,,,,2019-12-31,787.0
98,,12:00:00,,1,Tuesday,2016-01-05,477.0,,,,,2019-12-31,529.0
99,,13:00:00,,1,Tuesday,2016-01-05,559.0,,,,,2019-12-31,700.0
100,,14:00:00,,1,Tuesday,2016-01-05,554.0,,,,,2019-12-31,597.0
101,,15:00:00,,1,Tuesday,2016-01-05,594.0,,,,,2019-12-31,589.0
102,,16:00:00,,1,Tuesday,2016-01-05,569.0,,,,,2019-12-31,434.0
103,,17:00:00,,1,Tuesday,2016-01-05,385.0,,,,,2019-12-31,564.0
104,,18:00:00,,1,Tuesday,2016-01-05,227.0,,,,,2019-12-31,222.0
105,,19:00:00,,1,Tuesday,2016-01-05,283.0,,,,,2019-12-31,260.0
106,,20:00:00,,1,Tuesday,2016-01-05,180.0,,,,,2019-12-31,68.0
107,,21:00:00,,1,Tuesday,2016-01-05,166.0,,,,,2019-12-31,33.0
108,,04:00:00,,1,Wednesday,2016-01-06,286.0,,,,,,
109,,05:00:00,,1,Wednesday,2016-01-06,205.0,,,,,,
110,,06:00:00,,1,Wednesday,2016-01-06,459.0,,,,,,
111,,07:00:00,,1,Wednesday,2016-01-06,569.0,,,,,,
112,,08:00:00,,1,Wednesday,2016-01-06,842.0,,,,,,
113,,09:00:00,,1,Wednesday,2016-01-06,878.0,,,,,,
114,,10:00:00,,1,Wednesday,2016-01-06,351.0,,,,,,
115,,11:00:00,,1,Wednesday,2016-01-06,534.0,,,,,,
116,,12:00:00,,1,Wednesday,2016-01-06,450.0,,,,,,
117,,13:00:00,,1,Wednesday,2016-01-06,514.0,,,,,,
118,,14:00:00,,1,Wednesday,2016-01-06,499.0,,,,,,
119,,15:00:00,,1,Wednesday,2016-01-06,527.0,,,,,,
120,,16:00:00,,1,Wednesday,2016-01-06,376.0,,,,,,
121,,17:00:00,,1,Wednesday,2016-01-06,308.0,,,,,,
